X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
927;383;0.482957;0.3553441;0.482957;0.3553441;467.1;0.350435;True;5/17/2025 3:23:05 PM:893;1747484585893;;
936;347;0.4878787;0.321391;0.5187851;0.2204918;467.1;0.3507014;True;5/17/2025 3:23:05 PM:984;1747484585984;;
939;346;0.4894094;0.3212483;0.511928;0.3121694;467.1;0.3503178;True;5/17/2025 3:23:06 PM:72;1747484586072;;
943;343;0.4912163;0.318028;0.517589;0.2762597;467.1;0.3498781;True;5/17/2025 3:23:06 PM:159;1747484586159;;
943;388;0.491175;0.3593157;0.4905478;0.4687891;467.3;0.3497755;True;5/17/2025 3:23:06 PM:235;1747484586235;;
943;423;0.4912257;0.3921936;0.5028854;0.495;467.4;0.3503909;True;5/17/2025 3:23:06 PM:314;1747484586314;;
941;442;0.4904823;0.4095181;0.4806059;0.498803;467.5;0.3502887;True;5/17/2025 3:23:06 PM:378;1747484586378;;
922;442;0.4803052;0.4096592;0.4318644;0.4312484;467.5;0.3511305;True;5/17/2025 3:23:06 PM:437;1747484586437;;
866;452;0.451293;0.4189502;0.367312;0.4969327;467.6;0.3507469;True;5/17/2025 3:23:06 PM:492;1747484586492;;
832;461;0.4336796;0.4272451;0.362464;0.5095983;467.6;0.3513593;True;5/17/2025 3:23:06 PM:540;1747484586540;;
817;468;0.4259581;0.4336687;0.3763597;0.5112921;467.6;0.3503698;True;5/17/2025 3:23:06 PM:591;1747484586591;;
815;478;0.4248185;0.4434746;0.4003594;0.5380605;467.6;0.3511371;True;5/17/2025 3:23:06 PM:641;1747484586641;;
832;479;0.433359;0.4440326;0.4790962;0.4784312;467.6;0.3509826;True;5/17/2025 3:23:06 PM:687;1747484586687;;
832;482;0.4333409;0.4465314;0.4313605;0.5101683;467.5;0.3501996;True;5/17/2025 3:23:06 PM:738;1747484586738;;
837;485;0.4364197;0.4496506;0.4662992;0.5202027;467.5;0.3502182;True;5/17/2025 3:23:06 PM:786;1747484586786;;
842;487;0.4388205;0.4514577;0.4688588;0.5173365;467.5;0.3502207;True;5/17/2025 3:23:06 PM:828;1747484586828;;
844;488;0.4397753;0.4519986;0.4599317;0.4950626;467.4;0.3503218;True;5/17/2025 3:23:06 PM:881;1747484586881;;
852;481;0.4441032;0.4461395;0.484861;0.4073587;467.5;0.3505583;True;5/17/2025 3:23:06 PM:930;1747484586930;;
857;623;0.4468476;0.5774336;0.4833933;0.8199874;467.6;0.3502707;True;5/17/2025 3:23:06 PM:979;1747484586979;;
971;773;0.5061104;0.7157861;0.6341765;0.9486948;468.0;0.3497588;True;5/17/2025 3:23:07 PM:24;1747484587024;;
1047;835;0.5456942;0.7733445;0.6451471;0.9120578;468.4;0.349183;True;5/17/2025 3:23:07 PM:72;1747484587072;;
1087;867;0.5664679;0.8036799;0.6440617;0.9115631;468.8;0.3491901;True;5/17/2025 3:23:07 PM:113;1747484587113;;
1115;903;0.5809271;0.8362201;0.6418723;0.9430224;469.2;0.3489739;True;5/17/2025 3:23:07 PM:161;1747484587161;;
1132;911;0.5896549;0.8442397;0.6375504;0.8924847;469.5;0.3492388;True;5/17/2025 3:23:07 PM:212;1747484587212;;
1137;911;0.5923129;0.8440357;0.6231464;0.8238487;469.8;0.3494554;True;5/17/2025 3:23:07 PM:258;1747484587258;;
1141;911;0.5947847;0.843784;0.6260277;0.8322524;470.2;0.3492333;True;5/17/2025 3:23:07 PM:307;1747484587307;;
1142;893;0.5952017;0.8275535;0.6128112;0.7258142;470.4;0.3492725;True;5/17/2025 3:23:07 PM:357;1747484587357;;
1141;838;0.5947346;0.7762372;0.5863817;0.604081;470.7;0.3494924;True;5/17/2025 3:23:07 PM:404;1747484587404;;
1143;838;0.5954119;0.7760575;0.6145468;0.7631723;470.9;0.3496581;True;5/17/2025 3:23:07 PM:454;1747484587454;;
1143;824;0.5953514;0.7635002;0.5934402;0.6689403;471.0;0.3491859;True;5/17/2025 3:23:07 PM:499;1747484587499;;
1140;762;0.5941848;0.7062395;0.5779869;0.5345392;471.1;0.3491934;True;5/17/2025 3:23:07 PM:550;1747484587550;;
1140;756;0.5942088;0.7008227;0.5984941;0.6350445;471.2;0.3493888;True;5/17/2025 3:23:07 PM:597;1747484587597;;
1149;775;0.598548;0.7178819;0.6374491;0.8039038;471.4;0.3501172;True;5/17/2025 3:23:07 PM:644;1747484587644;;
1151;781;0.5996416;0.7240279;0.6224365;0.7761779;471.5;0.3497804;True;5/17/2025 3:23:07 PM:695;1747484587695;;
1150;758;0.5990034;0.7026841;0.5884039;0.5948064;471.7;0.3495378;True;5/17/2025 3:23:07 PM:742;1747484587742;;
1150;760;0.5994121;0.7042634;0.6148002;0.7311862;471.9;0.3499667;True;5/17/2025 3:23:07 PM:789;1747484587789;;
1151;771;0.5999306;0.7140374;0.6171442;0.7835732;472.0;0.3494541;True;5/17/2025 3:23:07 PM:843;1747484587843;;
1151;771;0.599974;0.7140527;0.6080851;0.7214838;472.1;0.3498689;True;5/17/2025 3:23:07 PM:892;1747484587892;;
1151;769;0.5999867;0.7126363;0.609072;0.6877053;472.2;0.3492533;True;5/17/2025 3:23:07 PM:942;1747484587942;;
1097;606;0.5715934;0.5948759;0.5232481;0.4504869;473.2;0.3498101;True;5/17/2025 3:23:08 PM:149;1747484588149;;
1004;650;0.5231895;0.6372902;0.4222921;0.7646013;474.1;0.3502796;True;5/17/2025 3:23:08 PM:213;1747484588213;;
972;643;0.5062714;0.6310581;0.440262;0.5725213;474.8;0.3512193;True;5/17/2025 3:23:08 PM:269;1747484588269;;
972;642;0.5064275;0.6303681;0.510778;0.6040196;475.3;0.3504077;True;5/17/2025 3:23:08 PM:328;1747484588328;;
970;633;0.5056455;0.621534;0.4881296;0.5441712;475.6;0.3499193;True;5/17/2025 3:23:08 PM:382;1747484588382;;
969;623;0.5047678;0.6115539;0.48499;0.5265775;475.8;0.3496639;True;5/17/2025 3:23:08 PM:437;1747484588437;;
960;629;0.5001118;0.6171942;0.4586445;0.6600944;476.0;0.3496609;True;5/17/2025 3:23:08 PM:490;1747484588490;;
949;625;0.4944818;0.6135865;0.4476324;0.5593464;476.2;0.349571;True;5/17/2025 3:23:08 PM:546;1747484588546;;
1037;594;0.5405793;0.5826181;0.638373;0.444262;476.2;0.3498578;True;5/17/2025 3:23:08 PM:597;1747484588597;;
1102;489;0.5743021;0.4803858;0.6538161;0.2638663;476.5;0.3497367;True;5/17/2025 3:23:08 PM:650;1747484588650;;
1142;432;0.5951167;0.4242606;0.6586342;0.2635151;476.8;0.3507275;True;5/17/2025 3:23:08 PM:704;1747484588704;;
1142;388;0.5949296;0.381173;0.5827364;0.234923;477.1;0.3501681;True;5/17/2025 3:23:08 PM:754;1747484588754;;
1127;389;0.5870025;0.3817728;0.5305966;0.4006169;477.5;0.3508051;True;5/17/2025 3:23:08 PM:804;1747484588804;;
1115;394;0.5808954;0.3863842;0.5280373;0.4399666;477.9;0.35078;True;5/17/2025 3:23:08 PM:856;1747484588856;;
1104;397;0.5750653;0.3898903;0.5205684;0.4421704;478.3;0.3502624;True;5/17/2025 3:23:08 PM:906;1747484588906;;
1105;360;0.5755756;0.3537917;0.5807431;0.2303561;478.8;0.3526541;True;5/17/2025 3:23:08 PM:961;1747484588961;;
1104;338;0.5753796;0.331988;0.5703818;0.2276371;479.2;0.3524509;True;5/17/2025 3:23:09 PM:10;1747484589010;;
1096;323;0.5711235;0.3170411;0.5267312;0.2245736;479.6;0.3517202;True;5/17/2025 3:23:09 PM:60;1747484589060;;
1096;312;0.5709876;0.3062677;0.5550662;0.222541;479.9;0.3527809;True;5/17/2025 3:23:09 PM:110;1747484589110;;
1042;304;0.5427952;0.2981017;0.4501298;0.2195935;480.1;0.3509727;True;5/17/2025 3:23:09 PM:162;1747484589162;;
1034;276;0.5388255;0.2708143;0.4969169;0.1407344;480.4;0.351662;True;5/17/2025 3:23:09 PM:216;1747484589216;;
1034;266;0.5385994;0.2615984;0.5258165;0.1714341;480.5;0.3520508;True;5/17/2025 3:23:09 PM:268;1747484589268;;
1022;254;0.5326704;0.2495374;0.4833676;0.1493165;480.6;0.3518386;True;5/17/2025 3:23:09 PM:324;1747484589324;;
995;251;0.5183691;0.2464286;0.4457853;0.1750049;480.7;0.3509109;True;5/17/2025 3:23:09 PM:376;1747484589376;;
994;250;0.5180008;0.2454555;0.5041673;0.2197034;480.7;0.351395;True;5/17/2025 3:23:09 PM:427;1747484589427;;
1002;255;0.5219177;0.2502759;0.5475479;0.2856311;480.9;0.3518035;True;5/17/2025 3:23:09 PM:480;1747484589480;;
1005;259;0.523747;0.2548721;0.5428689;0.2956206;481.0;0.3521174;True;5/17/2025 3:23:09 PM:530;1747484589530;;
1003;260;0.5228813;0.2551745;0.503001;0.2634355;481.2;0.3523569;True;5/17/2025 3:23:09 PM:582;1747484589582;;
1000;260;0.521277;0.2549802;0.4943404;0.2384457;481.4;0.3519557;True;5/17/2025 3:23:09 PM:633;1747484589633;;
1006;260;0.5243369;0.2549445;0.5499175;0.2522919;481.7;0.3521897;True;5/17/2025 3:23:09 PM:684;1747484589684;;
