X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
977;264;0.5088885;0.2447217;0.5088885;0.2447217;28382.4;0.1872404;True;7/14/2025 10:06:44 AM:128;1752476804128;;
986;241;0.5136334;0.2232251;0.5435914;0.08771702;28177.6;0.1907866;True;7/14/2025 10:06:44 AM:188;1752476804188;;
1035;221;0.5391027;0.2053603;0.7872952;0.03045416;27886.9;0.1769859;True;7/14/2025 10:06:44 AM:228;1752476804228;;
1141;211;0.59435;0.1958534;1.111337;0.105502;27718.5;0.1819107;True;7/14/2025 10:06:44 AM:270;1752476804270;;
1212;203;0.6314392;0.1888325;1.001191;0.1179617;27534.9;0.1809991;True;7/14/2025 10:06:44 AM:308;1752476804308;;
1225;192;0.63843;0.1783599;0.7060226;0.0767939;27328.9;0.1755963;True;7/14/2025 10:06:44 AM:348;1752476804348;;
1233;183;0.6422842;0.169686;0.6850029;0.07332044;27143.6;0.1762061;True;7/14/2025 10:06:44 AM:385;1752476804385;;
1270;170;0.6619616;0.1579197;0.8703409;0.03242116;27091.2;0.1602238;True;7/14/2025 10:06:44 AM:421;1752476804421;;
1310;166;0.6828021;0.1545165;0.9023573;0.1183194;27089.9;0.1625108;True;7/14/2025 10:06:44 AM:458;1752476804458;;
1361;163;0.7090247;0.1512082;1.029561;0.1102332;27088.6;0.1634496;True;7/14/2025 10:06:44 AM:490;1752476804490;;
1333;150;0.6947327;0.1392291;0.5540947;0.02163383;26996.5;0.1415739;True;7/14/2025 10:06:44 AM:530;1752476804530;;
1325;145;0.690222;0.1348318;0.659368;0.1046906;26865.1;0.1677727;True;7/14/2025 10:06:44 AM:587;1752476804587;;
1289;133;0.6716964;0.1239054;0.5471919;0.05062834;26631.0;0.1507561;True;7/14/2025 10:06:44 AM:646;1752476804646;;
1265;125;0.6590931;0.1164909;0.5470524;0.0507175;26553.5;0.1353153;True;7/14/2025 10:06:44 AM:690;1752476804690;;
