X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
907;92;0.3543861;0.07444119;0.3543861;0.07444119;368.7;0.2383698;False;6/2/2025 5:35:16 PM:194;1748874916194;;
908;92;0.3546967;0.07444837;0.3705989;0.07788158;369.4;0.2397086;False;6/2/2025 5:35:16 PM:207;1748874916207;;
908;92;0.3546922;0.07444812;0.3533534;0.07402696;370.0;0.2414684;False;6/2/2025 5:35:16 PM:222;1748874916222;;
908;92;0.3546878;0.07444789;0.3533546;0.07402714;370.6;0.2414694;False;6/2/2025 5:35:16 PM:240;1748874916240;;
915;93;0.3577731;0.07452449;0.4071489;0.0859203;370.1;0.22776;False;6/2/2025 5:35:16 PM:253;1748874916253;;
934;93;0.3650936;0.07473011;0.4253355;0.09018119;369.7;0.2261849;False;6/2/2025 5:35:16 PM:273;1748874916273;;
943;93;0.3683597;0.0748287;0.4143606;0.08761496;369.3;0.2270586;False;6/2/2025 5:35:16 PM:289;1748874916289;;
943;93;0.3687079;0.07484305;0.3869529;0.08159181;369.6;0.2342495;False;6/2/2025 5:35:16 PM:302;1748874916302;;
950;93;0.3714408;0.07493702;0.4100773;0.08686186;369.9;0.2323408;False;6/2/2025 5:35:16 PM:322;1748874916322;;
954;93;0.3729957;0.07499397;0.4067515;0.08609088;370.2;0.2333211;False;6/2/2025 5:35:16 PM:340;1748874916340;;
964;93;0.3766911;0.07511272;0.4338371;0.0919847;369.3;0.2419304;False;6/2/2025 5:35:16 PM:353;1748874916353;;
989;94;0.3865684;0.07545482;0.4578137;0.09766648;368.4;0.2399165;False;6/2/2025 5:35:16 PM:373;1748874916373;;
1002;94;0.3917364;0.07565272;0.4498184;0.09576966;367.7;0.2407581;False;6/2/2025 5:35:16 PM:390;1748874916390;;
