X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
647;796;0.3372444;0.7374296;0.3372444;0.7374296;585.9;0.3602588;True;5/24/2025 12:40:25 AM:762;1748036425762;;
644;830;0.3354467;0.7693253;0.3171345;0.8625866;585.8;0.363157;True;5/24/2025 12:40:25 AM:869;1748036425869;;
611;833;0.3183773;0.7715257;0.2643333;0.8089717;585.8;0.3620273;True;5/24/2025 12:40:25 AM:976;1748036425976;;
594;845;0.3097115;0.7830665;0.263281;0.8560963;585.8;0.3599308;True;5/24/2025 12:40:26 AM:77;1748036426077;;
541;845;0.2818349;0.7824548;0.2017029;0.7762638;585.7;0.3616383;True;5/24/2025 12:40:26 AM:158;1748036426158;;
487;850;0.2537968;0.7871761;0.1720683;0.8429145;585.6;0.3640705;True;5/24/2025 12:40:26 AM:234;1748036426234;;
454;839;0.2368952;0.7770326;0.1647014;0.7232758;585.6;0.3646703;True;5/24/2025 12:40:26 AM:301;1748036426301;;
445;839;0.2318088;0.7771124;0.1826809;0.7920682;585.5;0.3614631;True;5/24/2025 12:40:26 AM:370;1748036426370;;
433;839;0.2258628;0.7770225;0.1674879;0.7737455;585.5;0.3640179;True;5/24/2025 12:40:26 AM:420;1748036426420;;
432;839;0.2251739;0.7770601;0.2128106;0.7820499;585.5;0.3592279;True;5/24/2025 12:40:26 AM:473;1748036426473;;
433;850;0.2257837;0.7873992;0.2322628;0.8673862;585.6;0.3610109;True;5/24/2025 12:40:26 AM:520;1748036426520;;
433;849;0.2255434;0.7864022;0.2189683;0.7691163;585.6;0.3600148;True;5/24/2025 12:40:26 AM:570;1748036426570;;
425;857;0.2218004;0.793596;0.1797056;0.8601875;585.7;0.3612406;True;5/24/2025 12:40:26 AM:622;1748036426622;;
453;857;0.2361991;0.7938769;0.2869272;0.8177888;585.7;0.360395;True;5/24/2025 12:40:26 AM:683;1748036426683;;
464;857;0.2419561;0.7940489;0.2763194;0.8055785;585.8;0.3644686;True;5/24/2025 12:40:26 AM:743;1748036426743;;
468;855;0.2438113;0.7921661;0.2651513;0.7688628;585.9;0.3605598;True;5/24/2025 12:40:26 AM:805;1748036426805;;
489;853;0.2547942;0.7905551;0.3131114;0.7629485;586.1;0.3605923;True;5/24/2025 12:40:26 AM:854;1748036426854;;
489;864;0.2548141;0.8003309;0.2558904;0.8734446;586.2;0.3626985;True;5/24/2025 12:40:26 AM:904;1748036426904;;
489;866;0.2551521;0.8021004;0.2690983;0.83966;586.2;0.3622465;True;5/24/2025 12:40:26 AM:953;1748036426953;;
488;900;0.2543141;0.833788;0.2411381;0.9643139;586.3;0.3614447;True;5/24/2025 12:40:27 AM:4;1748036427004;;
488;897;0.254529;0.8313013;0.2648301;0.8010181;586.3;0.3613816;True;5/24/2025 12:40:27 AM:52;1748036427052;;
505;878;0.2630797;0.8134298;0.3166698;0.7193502;586.4;0.3597278;True;5/24/2025 12:40:27 AM:99;1748036427099;;
504;874;0.2627549;0.8100964;0.2559896;0.7665885;586.4;0.3649565;True;5/24/2025 12:40:27 AM:150;1748036427150;;
