X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
2825;400;1.471467;0.3712693;1.471467;0.3712693;27835.2;0.2289958;True;7/14/2025 9:48:19 AM:302;1752475699302;Offscreen;
2808;396;1.462999;0.3673857;1.35253;0.31654;27751.7;0.2315365;True;7/14/2025 9:48:19 AM:343;1752475699343;Offscreen;
2789;393;1.452708;0.3644982;1.301062;0.3217074;27676.5;0.2360335;True;7/14/2025 9:48:19 AM:378;1752475699378;Offscreen;
2749;415;1.432175;0.3845206;1.193083;0.6189657;27689.0;0.2265258;True;7/14/2025 9:48:19 AM:423;1752475699423;Offscreen;
2740;427;1.427132;0.396037;1.362793;0.5430275;27763.1;0.2235704;True;7/14/2025 9:48:19 AM:465;1752475699465;Offscreen;
2700;436;1.406712;0.4039401;1.178018;0.4932491;27862.4;0.2231567;True;7/14/2025 9:48:19 AM:512;1752475699512;Offscreen;
2708;416;1.410583;0.3860238;1.456963;0.1721842;28560.2;0.2164715;True;7/14/2025 9:48:19 AM:555;1752475699555;Offscreen;
2695;394;1.40376;0.3653172;1.318018;0.1050611;29082.2;0.2392559;True;7/14/2025 9:48:19 AM:598;1752475699598;Offscreen;
2689;389;1.400842;0.3608678;1.365053;0.3061505;29458.8;0.2274708;True;7/14/2025 9:48:19 AM:641;1752475699641;Offscreen;
2698;381;1.405326;0.3529844;1.462898;0.2520074;29530.1;0.2277281;True;7/14/2025 9:48:19 AM:682;1752475699682;Offscreen;
2689;387;1.400651;0.3583716;1.344239;0.4236332;29382.8;0.1995559;True;7/14/2025 9:48:19 AM:726;1752475699726;Offscreen;
2680;390;1.396074;0.3614658;1.317824;0.4146351;29250.3;0.2000994;True;7/14/2025 9:48:19 AM:757;1752475699757;Offscreen;
2654;372;1.382619;0.3446429;1.205926;0.1226216;29127.7;0.2077678;True;7/14/2025 9:48:19 AM:796;1752475699796;Offscreen;
2629;356;1.369555;0.3299635;1.198356;0.1365023;28884.4;0.2336075;True;7/14/2025 9:48:19 AM:836;1752475699836;Offscreen;
2610;344;1.359647;0.3191307;1.186848;0.12909;28665.4;0.2341111;True;7/14/2025 9:48:19 AM:867;1752475699867;Offscreen;
2568;330;1.337906;0.3063089;1.046195;0.1322704;28641.1;0.2470187;True;7/14/2025 9:48:19 AM:906;1752475699906;Offscreen;
2536;321;1.320874;0.297568;1.127087;0.197137;28379.2;0.2364847;True;7/14/2025 9:48:19 AM:952;1752475699952;Offscreen;
2533;316;1.319433;0.2926022;1.299929;0.2251738;28221.4;0.2344109;True;7/14/2025 9:48:19 AM:991;1752475699991;Offscreen;
2501;299;1.302654;0.2774799;1.086071;0.08056112;27916.6;0.2171867;True;7/14/2025 9:48:20 AM:31;1752475700031;Offscreen;
2480;295;1.291814;0.274059;1.154823;0.2304149;27827.5;0.2280763;True;7/14/2025 9:48:20 AM:72;1752475700072;Offscreen;
2459;289;1.281235;0.2682231;1.123737;0.1805116;27747.2;0.2285569;True;7/14/2025 9:48:20 AM:108;1752475700108;Offscreen;
2444;273;1.27298;0.25365;1.166876;0.06533839;27764.6;0.2258059;True;7/14/2025 9:48:20 AM:149;1752475700149;Offscreen;
2401;306;1.250618;0.2838404;0.9817445;0.6516314;27734.6;0.2379946;True;7/14/2025 9:48:20 AM:192;1752475700192;Offscreen;
2384;318;1.241882;0.2952747;1.128923;0.4448974;27591.3;0.2128187;True;7/14/2025 9:48:20 AM:232;1752475700232;Offscreen;
2353;304;1.225616;0.2816023;1.013005;0.1007108;27654.1;0.2423542;True;7/14/2025 9:48:20 AM:271;1752475700271;Offscreen;
2320;289;1.208607;0.2681325;0.9451144;0.05656523;27710.6;0.2435205;True;7/14/2025 9:48:20 AM:305;1752475700305;Offscreen;
2201;270;1.1467;0.2506683;0.3766849;0.02565252;27582.7;0.2279592;True;7/14/2025 9:48:20 AM:346;1752475700346;Offscreen;
2116;250;1.1022;0.2318543;0.5104054;-0.02568725;27390.5;0.2154868;True;7/14/2025 9:48:20 AM:384;1752475700384;Offscreen;
2027;230;1.056106;0.2135526;0.4801452;-0.02213447;27195.5;0.2195366;True;7/14/2025 9:48:20 AM:425;1752475700425;Offscreen;
1962;219;1.022378;0.2031145;0.5989454;0.06840473;27185.2;0.2199167;True;7/14/2025 9:48:20 AM:466;1752475700466;Offscreen;
1850;202;0.9639741;0.1878009;0.2096559;-0.01818417;27045.1;0.2118241;True;7/14/2025 9:48:20 AM:506;1752475700506;;
1776;188;0.9250631;0.1748003;0.3129096;-0.03727553;26919.0;0.2125822;True;7/14/2025 9:48:20 AM:538;1752475700538;;
1657;174;0.8630915;0.1619919;0.1019143;-0.002584457;26801.5;0.2114332;True;7/14/2025 9:48:20 AM:578;1752475700578;;
1538;163;0.8012565;0.1518392;0.1044955;0.03208222;26532.9;0.2365929;True;7/14/2025 9:48:20 AM:623;1752475700623;;
1457;151;0.7593559;0.1402715;0.2222652;-0.0140876;26500.0;0.2269252;True;7/14/2025 9:48:20 AM:663;1752475700663;;
1402;139;0.7306597;0.1287277;0.325034;-0.04037085;26470.3;0.2289006;True;7/14/2025 9:48:20 AM:699;1752475700699;;
1329;129;0.6924955;0.119537;0.2038221;-0.003086986;26538.2;0.2224704;True;7/14/2025 9:48:20 AM:738;1752475700738;;
1323;156;0.6894857;0.1447204;0.6516358;0.4710524;26491.7;0.2268902;True;7/14/2025 9:48:20 AM:779;1752475700779;;
1246;167;0.6493335;0.1555269;0.1260625;0.3037265;26256.7;0.217938;True;7/14/2025 9:48:20 AM:818;1752475700818;;
1184;179;0.616789;0.1657796;0.2057457;0.3016262;26172.5;0.222091;True;7/14/2025 9:48:20 AM:858;1752475700858;;
1139;186;0.5934344;0.1727261;0.1957673;0.2968421;26096.7;0.2219518;True;7/14/2025 9:48:20 AM:887;1752475700887;;
1166;186;0.6076405;0.1724448;0.7885048;0.1687821;25783.0;0.2105866;True;7/14/2025 9:48:20 AM:928;1752475700928;;
