X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
1044;1071;0.5441372;0.9923135;0.5441372;0.9923135;563.5;0.352906;True;5/23/2025 10:05:42 PM:595;1748027142595;;
939;1031;0.4892129;1.011122;0.4256048;0.9279502;565.2;0.352999;True;5/23/2025 10:05:42 PM:836;1748027142836;Offscreen;
864;1033;0.4504717;1.012797;0.3695963;1.026399;566.4;0.3533915;True;5/23/2025 10:05:42 PM:935;1748027142935;Offscreen;
711;942;0.3704229;0.9239478;0.2641013;0.7628896;567.3;0.3515852;True;5/23/2025 10:05:43 PM:29;1748027143029;;
659;876;0.3432463;0.8596348;0.2732458;0.7086307;567.9;0.3519557;True;5/23/2025 10:05:43 PM:107;1748027143107;;
659;856;0.3432536;0.8401805;0.3436027;0.7465574;568.0;0.3516869;True;5/23/2025 10:05:43 PM:187;1748027143187;;
853;856;0.4445823;0.8399413;0.5701928;0.8345046;567.7;0.3514532;True;5/23/2025 10:05:43 PM:252;1748027143252;;
864;839;0.4504908;0.8229542;0.4761716;0.7224207;567.1;0.3510149;True;5/23/2025 10:05:43 PM:312;1748027143312;;
825;828;0.4300451;0.8123957;0.3471735;0.7216502;565.6;0.3502879;True;5/23/2025 10:05:43 PM:368;1748027143368;;
819;822;0.4268566;0.8060375;0.3827292;0.7259956;564.0;0.3505678;True;5/23/2025 10:05:43 PM:424;1748027143424;;
814;814;0.4240162;0.79878;0.3783556;0.7089074;562.1;0.3509733;True;5/23/2025 10:05:43 PM:474;1748027143474;;
812;800;0.423106;0.7847298;0.3861641;0.669418;560.0;0.351277;True;5/23/2025 10:05:43 PM:524;1748027143524;;
762;794;0.3970436;0.7789388;0.3021518;0.6896271;557.9;0.351138;True;5/23/2025 10:05:43 PM:578;1748027143578;;
737;747;0.3839329;0.7328061;0.3119241;0.5598265;555.6;0.3504292;True;5/23/2025 10:05:43 PM:634;1748027143634;;
740;679;0.3855567;0.6664614;0.3981684;0.466824;553.2;0.3513527;True;5/23/2025 10:05:43 PM:686;1748027143686;;
725;567;0.3776434;0.5565558;0.3204551;0.3295733;551.0;0.351965;True;5/23/2025 10:05:43 PM:740;1748027143740;;
727;562;0.3789057;0.5510579;0.3902002;0.4929832;548.9;0.3522324;True;5/23/2025 10:05:43 PM:794;1748027143794;;
762;539;0.3973425;0.5284688;0.4612619;0.4119803;547.0;0.3522459;True;5/23/2025 10:05:43 PM:845;1748027143845;;
788;542;0.4108572;0.5315681;0.4684047;0.5653926;545.4;0.3519168;True;5/23/2025 10:05:43 PM:896;1748027143896;;
814;553;0.4242366;0.5425906;0.4821734;0.6144942;544.0;0.3520092;True;5/23/2025 10:05:43 PM:949;1748027143949;;
814;566;0.4241314;0.5550651;0.4189829;0.637808;542.8;0.3506293;True;5/23/2025 10:05:44 PM:3;1748027144003;;
803;583;0.4187184;0.5723793;0.3781721;0.6756842;541.8;0.3514774;True;5/23/2025 10:05:44 PM:53;1748027144053;;
813;583;0.4235414;0.5723386;0.4594379;0.5711589;540.9;0.3507706;True;5/23/2025 10:05:44 PM:103;1748027144103;;
838;576;0.436947;0.5650275;0.498262;0.5073067;540.1;0.3497829;True;5/23/2025 10:05:44 PM:155;1748027144155;;
859;567;0.4478694;0.5565279;0.5053203;0.489358;539.6;0.3507812;True;5/23/2025 10:05:44 PM:207;1748027144207;;
859;573;0.4479122;0.5627349;0.459072;0.6190666;539.0;0.3506043;True;5/23/2025 10:05:44 PM:259;1748027144259;;
999;573;0.5203632;0.5627388;0.6487636;0.5649835;538.5;0.3515781;True;5/23/2025 10:05:44 PM:310;1748027144310;;
1091;554;0.5685016;0.5439903;0.6673892;0.4458144;538.1;0.3510804;True;5/23/2025 10:05:44 PM:362;1748027144362;;
1158;543;0.6033936;0.5328143;0.6874886;0.4494953;537.7;0.3518382;True;5/23/2025 10:05:44 PM:412;1748027144412;;
1190;539;0.6202233;0.5290397;0.6784701;0.4723296;537.4;0.3528214;True;5/23/2025 10:05:44 PM:464;1748027144464;;
1239;536;0.6453686;0.5262741;0.7185317;0.4724918;537.2;0.3515365;True;5/23/2025 10:05:44 PM:516;1748027144516;;
1287;536;0.6707584;0.5257462;0.7459263;0.4880406;537.1;0.3517382;True;5/23/2025 10:05:44 PM:569;1748027144569;;
1329;532;0.6924376;0.5224718;0.7638943;0.4606273;537.0;0.3514263;True;5/23/2025 10:05:44 PM:619;1748027144619;;
1334;532;0.6949669;0.5224404;0.7193167;0.4867257;536.9;0.3506453;True;5/23/2025 10:05:44 PM:671;1748027144671;;
1390;518;0.7243281;0.5084541;0.8113928;0.401039;536.9;0.3505735;True;5/23/2025 10:05:44 PM:721;1748027144721;;
1446;509;0.7532626;0.499871;0.838276;0.4068265;536.8;0.3515659;True;5/23/2025 10:05:44 PM:772;1748027144772;;
1456;500;0.7588146;0.4909919;0.7983019;0.3930491;536.7;0.3506813;True;5/23/2025 10:05:44 PM:823;1748027144823;;
1457;499;0.7589274;0.4900181;0.7664423;0.4715935;536.7;0.35168;True;5/23/2025 10:05:44 PM:874;1748027144874;;
1437;522;0.7484947;0.5125803;0.6949573;0.6052215;536.8;0.3506679;True;5/23/2025 10:05:44 PM:923;1748027144923;;
1409;540;0.7342142;0.5301635;0.6702527;0.6158381;536.8;0.3514955;True;5/23/2025 10:05:44 PM:974;1748027144974;;
1406;552;0.7327421;0.5420835;0.7077971;0.6178006;537.0;0.3515555;True;5/23/2025 10:05:45 PM:24;1748027145024;;
1405;556;0.7322008;0.5455899;0.7133457;0.5907313;537.2;0.3514017;True;5/23/2025 10:05:45 PM:75;1748027145075;;
1400;566;0.7296638;0.5558647;0.6953657;0.6358196;537.4;0.3516221;True;5/23/2025 10:05:45 PM:125;1748027145125;;
1398;574;0.7284958;0.5628307;0.7006646;0.6341966;537.6;0.3511579;True;5/23/2025 10:05:45 PM:177;1748027145177;;
1378;583;0.7178124;0.5717588;0.6538217;0.6561093;537.8;0.3518779;True;5/23/2025 10:05:45 PM:228;1748027145228;;
1377;583;0.7175401;0.5720909;0.7106456;0.5812133;538.0;0.351985;True;5/23/2025 10:05:45 PM:278;1748027145278;;
1379;578;0.7184003;0.5673296;0.7284948;0.526599;538.3;0.3521056;True;5/23/2025 10:05:45 PM:333;1748027145333;;
1371;584;0.7144348;0.5732098;0.673861;0.6387711;538.5;0.3517344;True;5/23/2025 10:05:45 PM:383;1748027145383;;
825;578;0.4299696;0.5670311;0.2268012;0.5165827;538.8;0.3858304;True;5/23/2025 10:05:45 PM:434;1748027145434;;
960;599;0.5000624;0.5878826;0.7043317;0.699176;539.1;0.3509124;True;5/23/2025 10:05:45 PM:484;1748027145484;;
1108;605;0.5774363;0.5939907;0.7667145;0.6652626;539.3;0.3508829;True;5/23/2025 10:05:45 PM:528;1748027145528;;
1265;606;0.6589082;0.5949738;0.8191173;0.6337615;539.5;0.3516122;True;5/23/2025 10:05:45 PM:580;1748027145580;;
1283;608;0.668619;0.596906;0.7352635;0.6456512;539.7;0.3509029;True;5/23/2025 10:05:45 PM:634;1748027145634;;
1298;611;0.6760502;0.5992599;0.7400872;0.655017;539.9;0.3509872;True;5/23/2025 10:05:45 PM:684;1748027145684;;
1352;610;0.704565;0.5989916;0.8055241;0.5946795;540.2;0.3515088;True;5/23/2025 10:05:45 PM:735;1748027145735;;
1450;607;0.7552972;0.5956388;0.8771718;0.5612444;540.4;0.3516196;True;5/23/2025 10:05:45 PM:785;1748027145785;;
1478;603;0.7698075;0.591402;0.8395185;0.5471843;540.8;0.3516812;True;5/23/2025 10:05:45 PM:836;1748027145836;;
1515;603;0.7891207;0.5913007;0.8666934;0.5849214;541.1;0.3509956;True;5/23/2025 10:05:45 PM:889;1748027145889;;
1528;603;0.7961703;0.5920699;0.8501943;0.6143298;541.3;0.3498267;True;5/23/2025 10:05:45 PM:939;1748027145939;;
1530;603;0.7973844;0.5920866;0.8292767;0.5988732;541.6;0.3509622;True;5/23/2025 10:05:45 PM:989;1748027145989;;
1531;613;0.7977655;0.6019195;0.8242161;0.6802878;541.9;0.3515033;True;5/23/2025 10:05:46 PM:39;1748027146039;;
1531;614;0.7978474;0.602011;0.7991708;0.610646;542.2;0.3521101;True;5/23/2025 10:05:46 PM:89;1748027146089;;
1532;614;0.7979855;0.6020853;0.8122141;0.6101466;542.5;0.3518599;True;5/23/2025 10:05:46 PM:142;1748027146142;;
1532;616;0.7981654;0.6048772;0.8087111;0.6526366;542.7;0.3517465;True;5/23/2025 10:05:46 PM:191;1748027146191;;
1532;623;0.7981201;0.6109882;0.7971493;0.6804549;542.9;0.3515048;True;5/23/2025 10:05:46 PM:240;1748027146240;;
1507;622;0.7853642;0.6107535;0.7295819;0.6058484;543.2;0.3515722;True;5/23/2025 10:05:46 PM:291;1748027146291;;
1502;627;0.7827504;0.6155293;0.756156;0.6789962;543.5;0.3511328;True;5/23/2025 10:05:46 PM:340;1748027146340;;
1499;627;0.78096;0.6147163;0.7574794;0.6020622;543.8;0.3507994;True;5/23/2025 10:05:46 PM:394;1748027146394;;
1478;631;0.7702094;0.6193948;0.7121265;0.6807829;544.0;0.3502298;True;5/23/2025 10:05:46 PM:444;1748027146444;;
1469;634;0.7654382;0.6219218;0.7228745;0.6739559;544.2;0.3506519;True;5/23/2025 10:05:46 PM:496;1748027146496;;
1460;642;0.7604513;0.6295754;0.7155377;0.7092015;544.4;0.3505467;True;5/23/2025 10:05:46 PM:551;1748027146551;;
1468;642;0.7649727;0.6301004;0.7934533;0.6468462;544.6;0.3515262;True;5/23/2025 10:05:46 PM:606;1748027146606;;
1468;643;0.7648997;0.6305042;0.7591684;0.6462539;544.8;0.35144;True;5/23/2025 10:05:46 PM:664;1748027146664;;
1468;666;0.764845;0.6532266;0.7611072;0.7737919;544.9;0.3511112;True;5/23/2025 10:05:46 PM:718;1748027146718;;
1477;600;0.7697316;0.588273;0.8042231;0.4305921;545.0;0.3518071;True;5/23/2025 10:05:46 PM:771;1748027146771;;
1485;536;0.7734573;0.5262588;0.8064706;0.3720928;545.0;0.3512036;True;5/23/2025 10:05:46 PM:824;1748027146824;;
1496;522;0.779366;0.5123624;0.8232898;0.4397098;545.0;0.3511752;True;5/23/2025 10:05:46 PM:877;1748027146877;;
1512;481;0.7877313;0.4720009;0.8400557;0.343416;545.0;0.3516806;True;5/23/2025 10:05:46 PM:934;1748027146934;;
1503;457;0.7829125;0.448404;0.7519768;0.3428283;545.1;0.3516853;True;5/23/2025 10:05:46 PM:988;1748027146988;;
1494;442;0.7785748;0.433941;0.7462703;0.3454226;545.1;0.3516151;True;5/23/2025 10:05:47 PM:42;1748027147042;;
1453;452;0.7570321;0.4434423;0.6830156;0.5095162;545.1;0.3511232;True;5/23/2025 10:05:47 PM:95;1748027147095;;
1422;452;0.7407006;0.4434382;0.6736313;0.4415804;545.1;0.3517891;True;5/23/2025 10:05:47 PM:148;1748027147148;;
1432;376;0.7458842;0.3688307;0.7815751;0.1894815;544.9;0.3504107;True;5/23/2025 10:05:47 PM:202;1748027147202;;
1440;328;0.7503072;0.3221231;0.7889662;0.1674542;544.8;0.3504025;True;5/23/2025 10:05:47 PM:249;1748027147249;;
1428;287;0.743974;0.2817366;0.7042668;0.1468557;544.8;0.3510756;True;5/23/2025 10:05:47 PM:303;1748027147303;;
1423;275;0.7415435;0.2701078;0.7137378;0.1910446;544.7;0.3510994;True;5/23/2025 10:05:47 PM:355;1748027147355;;
1365;272;0.7112758;0.2674558;0.6225449;0.2234689;544.6;0.3517723;True;5/23/2025 10:05:47 PM:408;1748027147408;;
1360;257;0.7083495;0.251994;0.6767258;0.1532938;544.4;0.3512552;True;5/23/2025 10:05:47 PM:460;1748027147460;;
1359;240;0.7083165;0.2356668;0.7013665;0.1302494;544.1;0.3509614;True;5/23/2025 10:05:47 PM:513;1748027147513;;
