X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
1160;826;0.6044888;0.7648833;0.6044888;0.7648833;543.7;0.3502969;True;5/23/2025 11:36:16 PM:514;1748032576514;;
997;769;0.5194241;0.7128367;0.4162488;0.591248;543.6;0.3502829;True;5/23/2025 11:36:16 PM:604;1748032576604;;
836;661;0.4358337;0.6121643;0.3360942;0.4455234;543.5;0.3504604;True;5/23/2025 11:36:16 PM:690;1748032576690;;
833;505;0.4341307;0.4676805;0.4245423;0.2824743;543.3;0.3506967;True;5/23/2025 11:36:16 PM:774;1748032576774;;
761;502;0.3964162;0.4655368;0.3209221;0.4462739;543.1;0.3503355;True;5/23/2025 11:36:16 PM:848;1748032576848;;
731;477;0.3808303;0.4423862;0.330637;0.3571817;542.9;0.3498526;True;5/23/2025 11:36:16 PM:923;1748032576923;;
731;442;0.3811447;0.4100439;0.3928613;0.2943997;542.8;0.3503825;True;5/23/2025 11:36:16 PM:983;1748032576983;;
731;447;0.3811639;0.4145102;0.3823575;0.4574074;542.7;0.3502008;True;5/23/2025 11:36:17 PM:43;1748032577043;;
731;447;0.3811511;0.4145602;0.3803566;0.4207363;542.6;0.3508088;True;5/23/2025 11:36:17 PM:93;1748032577093;;
726;469;0.3783774;0.4348984;0.349245;0.5422487;542.5;0.3507242;True;5/23/2025 11:36:17 PM:138;1748032577138;;
691;492;0.359954;0.4563997;0.2859787;0.5687861;542.4;0.3505864;True;5/23/2025 11:36:17 PM:185;1748032577185;;
710;442;0.3699868;0.4096497;0.4240382;0.2640254;542.3;0.3501171;True;5/23/2025 11:36:17 PM:231;1748032577231;;
705;418;0.3672494;0.3878698;0.3376991;0.286427;542.2;0.3503542;True;5/23/2025 11:36:17 PM:278;1748032577278;;
703;419;0.3663177;0.3881915;0.346917;0.4056202;542.2;0.3501495;True;5/23/2025 11:36:17 PM:327;1748032577327;;
704;401;0.3671388;0.3717877;0.3812018;0.280132;542.1;0.3505233;True;5/23/2025 11:36:17 PM:372;1748032577372;;
691;389;0.3599241;0.3604201;0.3100451;0.2779779;542.0;0.350486;True;5/23/2025 11:36:17 PM:417;1748032577417;;
695;389;0.3624604;0.3604037;0.3883387;0.3512264;542.0;0.3506841;True;5/23/2025 11:36:17 PM:464;1748032577464;;
689;389;0.3592968;0.3603702;0.3263614;0.3573301;541.9;0.3506046;True;5/23/2025 11:36:17 PM:512;1748032577512;;
677;390;0.3530627;0.3618894;0.3052279;0.3887303;541.8;0.3505935;True;5/23/2025 11:36:17 PM:558;1748032577558;;
