X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
1564;440;0.8150418;0.4080218;0.8150418;0.4080218;319.5;0.2260898;False;6/24/2025 5:00:27 PM:145;1750773627145;;
1556;434;0.8105196;0.4021833;0.6354819;0.1757551;319.5;0.2229527;False;6/24/2025 5:00:27 PM:159;1750773627159;;
1553;432;0.8089933;0.4007154;0.7499781;0.3438882;319.5;0.2247738;False;6/24/2025 5:00:27 PM:172;1750773627172;;
1549;425;0.8068391;0.3938652;0.7388651;0.1781779;318.3;0.2287654;False;6/24/2025 5:00:27 PM:189;1750773627189;;
1548;420;0.8063136;0.3895846;0.7836239;0.2053913;317.2;0.2295757;False;6/24/2025 5:00:27 PM:201;1750773627201;;
1547;416;0.8057783;0.3852168;0.7836612;0.2053631;316.2;0.2296032;False;6/24/2025 5:00:27 PM:214;1750773627214;;
1547;417;0.8057406;0.3868721;0.8045359;0.4398304;317.1;0.2129571;False;6/24/2025 5:00:27 PM:230;1750773627230;;
1547;419;0.8060644;0.388479;0.8197746;0.4564586;317.9;0.2133879;False;6/24/2025 5:00:27 PM:243;1750773627243;;
1548;421;0.8064917;0.3900797;0.8247831;0.4585603;318.6;0.2134496;False;6/24/2025 5:00:27 PM:255;1750773627255;;
1549;422;0.8069109;0.3916477;0.8248099;0.458542;319.2;0.2134752;False;6/24/2025 5:00:27 PM:268;1750773627268;;
1550;419;0.8076228;0.3879743;0.8308153;0.2686052;319.5;0.2135297;False;6/24/2025 5:00:27 PM:284;1750773627284;;
1552;416;0.8088186;0.3857098;0.8610809;0.2868197;319.7;0.213918;False;6/24/2025 5:00:27 PM:295;1750773627295;;
1554;413;0.8098277;0.3831656;0.8509809;0.2795697;320.0;0.2138708;False;6/24/2025 5:00:27 PM:309;1750773627309;;
1556;411;0.8108131;0.3806812;0.8509739;0.279576;320.2;0.2138659;False;6/24/2025 5:00:27 PM:322;1750773627322;;
1555;407;0.8102891;0.3775805;0.7925522;0.2728674;321.1;0.2081925;False;6/24/2025 5:00:27 PM:338;1750773627338;;
1555;405;0.8099801;0.3753115;0.7971563;0.2813444;321.9;0.2082615;False;6/24/2025 5:00:27 PM:351;1750773627351;;
1554;403;0.8096926;0.3731952;0.797185;0.2813176;322.7;0.2082872;False;6/24/2025 5:00:27 PM:363;1750773627363;;
1556;401;0.8108196;0.3714053;0.8483393;0.3118684;323.3;0.2146662;False;6/24/2025 5:00:27 PM:379;1750773627379;;
1558;400;0.8119634;0.371151;0.8624348;0.3599212;323.9;0.2148701;False;6/24/2025 5:00:27 PM:391;1750773627391;;
1561;399;0.8131008;0.3703655;0.8605525;0.3375834;324.5;0.2148494;False;6/24/2025 5:00:27 PM:403;1750773627403;;
1563;399;0.8142448;0.3701238;0.8624172;0.3599367;325.0;0.2148586;False;6/24/2025 5:00:27 PM:416;1750773627416;;
1562;395;0.8136514;0.3664579;0.7941676;0.2464133;325.1;0.2086101;False;6/24/2025 5:00:27 PM:432;1750773627432;;
1561;392;0.8133579;0.3636002;0.801097;0.2446372;325.2;0.2087478;False;6/24/2025 5:00:27 PM:445;1750773627445;;
1561;389;0.8130747;0.3608428;0.8011032;0.2446337;325.2;0.2087526;False;6/24/2025 5:00:27 PM:458;1750773627458;;
1559;385;0.8120794;0.3566606;0.7802375;0.2232275;325.5;0.2101809;False;6/24/2025 5:00:27 PM:474;1750773627474;;
1559;382;0.8123581;0.3540173;0.8241577;0.2424932;325.8;0.2104648;False;6/24/2025 5:00:27 PM:487;1750773627487;;
1560;379;0.8126329;0.3514133;0.8241668;0.2424889;326.1;0.2104701;False;6/24/2025 5:00:27 PM:499;1750773627499;;
1560;376;0.8126873;0.3486587;0.8148106;0.2414896;326.3;0.2104284;False;6/24/2025 5:00:27 PM:513;1750773627513;;
1562;370;0.8140295;0.3430146;0.8594115;0.1529193;325.8;0.2122225;False;6/24/2025 5:00:27 PM:529;1750773627529;;
1565;366;0.8153268;0.3394603;0.8711121;0.1870443;325.3;0.2123796;False;6/24/2025 5:00:27 PM:541;1750773627541;;
1567;362;0.8166599;0.3358072;0.8710904;0.1870486;324.9;0.2123616;False;6/24/2025 5:00:27 PM:554;1750773627554;;
1570;359;0.8182073;0.3324689;0.8856896;0.1871982;324.5;0.2124191;False;6/24/2025 5:00:27 PM:566;1750773627566;;
1571;355;0.8184832;0.3289151;0.8274127;0.2143496;324.3;0.219723;False;6/24/2025 5:00:27 PM:582;1750773627582;;
1573;352;0.819378;0.3260934;0.8559614;0.2110421;324.1;0.2198277;False;6/24/2025 5:00:27 PM:595;1750773627595;;
1575;349;0.8204057;0.3239423;0.8655666;0.2296088;323.9;0.2198601;False;6/24/2025 5:00:27 PM:607;1750773627607;;
1576;346;0.8212775;0.3211668;0.8559656;0.2110412;323.8;0.219833;False;6/24/2025 5:00:27 PM:621;1750773627621;;
1572;340;0.8190738;0.3150534;0.7451566;0.1107893;324.2;0.2135728;False;6/24/2025 5:00:27 PM:636;1750773627636;;
1570;334;0.8180763;0.3100398;0.7777953;0.1086358;324.5;0.2137766;False;6/24/2025 5:00:27 PM:649;1750773627649;;
1568;329;0.8171715;0.3054789;0.7779006;0.108563;324.8;0.2138539;False;6/24/2025 5:00:27 PM:662;1750773627662;;
1567;324;0.8162146;0.3006714;0.7777898;0.1086397;325.1;0.2137726;False;6/24/2025 5:00:27 PM:675;1750773627675;;
1551;320;0.8082367;0.2968375;0.5443844;0.1693465;325.7;0.2073818;False;6/24/2025 5:00:27 PM:691;1750773627691;;
1541;316;0.8027065;0.293211;0.5771717;0.1447793;326.3;0.2075748;False;6/24/2025 5:00:27 PM:703;1750773627703;;
1530;312;0.7971085;0.2895396;0.5771692;0.1447796;326.9;0.2075733;False;6/24/2025 5:00:27 PM:717;1750773627717;;
1517;307;0.7902382;0.2845067;0.5660025;0.11967;328.9;0.2158957;False;6/24/2025 5:00:27 PM:733;1750773627733;;
1508;302;0.7859038;0.2804252;0.6074254;0.1120858;330.8;0.216233;False;6/24/2025 5:00:27 PM:746;1750773627746;;
