X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
874;627;0.4552214;0.5812256;0.4552214;0.5812256;379.6;0.2196411;False;6/24/2025 4:56:31 PM:525;1750773391525;;
873;627;0.4549142;0.5805869;0.4413401;0.5523646;379.6;0.2184933;False;6/24/2025 4:56:31 PM:538;1750773391538;;
873;626;0.4548084;0.5799016;0.4499635;0.5485237;379.6;0.2192051;False;6/24/2025 4:56:31 PM:549;1750773391549;;
873;629;0.4550703;0.5824198;0.4644448;0.6724233;377.7;0.2179348;False;6/24/2025 4:56:31 PM:564;1750773391564;;
874;631;0.4555422;0.5846588;0.4780537;0.6913046;375.9;0.217925;False;6/24/2025 4:56:31 PM:575;1750773391575;;
875;633;0.456018;0.5870116;0.4789069;0.6999962;374.4;0.2179241;False;6/24/2025 4:56:31 PM:586;1750773391586;;
876;636;0.4564815;0.5893037;0.4789068;0.6999999;373.0;0.2179243;False;6/24/2025 4:56:31 PM:597;1750773391597;;
1116;480;0.5812748;0.4452475;0.8418959;0.1427229;368.5;0.2257684;False;6/24/2025 4:56:31 PM:847;1750773391847;;
1124;476;0.5855885;0.4410118;0.7871717;0.2419574;364.5;0.2258466;False;6/24/2025 4:56:31 PM:858;1750773391858;;
1132;471;0.5896586;0.4370146;0.7871762;0.2419494;360.9;0.2258478;False;6/24/2025 4:56:31 PM:868;1750773391868;;
1140;467;0.5937945;0.432878;0.7945993;0.230899;357.7;0.2258442;False;6/24/2025 4:56:31 PM:880;1750773391880;;
1147;457;0.5975062;0.4231806;0.736104;0.06124248;355.3;0.2383944;False;6/24/2025 4:56:31 PM:894;1750773391894;;
1153;449;0.6008298;0.4158846;0.7632419;0.05915504;353.2;0.2384;False;6/24/2025 4:56:31 PM:905;1750773391905;;
1159;441;0.6041425;0.408612;0.7632385;0.0591554;351.3;0.2384004;False;6/24/2025 4:56:31 PM:916;1750773391916;;
1166;433;0.607336;0.4016015;0.7632388;0.05915533;349.6;0.2384004;False;6/24/2025 4:56:31 PM:926;1750773391926;;
1171;425;0.6103821;0.3943891;0.7514983;0.06022523;348.0;0.2383995;False;6/24/2025 4:56:31 PM:938;1750773391938;;
1176;418;0.6129981;0.3870451;0.7118841;0.1095348;348.0;0.2293483;False;6/24/2025 4:56:31 PM:952;1750773391952;;
1181;411;0.6155807;0.3807632;0.7375209;0.08413431;348.0;0.2294074;False;6/24/2025 4:56:31 PM:963;1750773391963;;
1186;404;0.6180674;0.3749749;0.7435996;0.08267773;348.0;0.2294318;False;6/24/2025 4:56:31 PM:973;1750773391973;;
1191;398;0.6207402;0.3687531;0.7436091;0.08265589;348.0;0.2294125;False;6/24/2025 4:56:31 PM:983;1750773391983;;
1165;415;0.6070753;0.3848868;0.4848856;0.5291513;347.4;0.2368097;False;6/24/2025 4:56:32 PM:44;1750773392044;;
1159;420;0.6036545;0.3893319;0.4508348;0.5879217;346.8;0.2370575;False;6/24/2025 4:56:32 PM:56;1750773392056;;
1151;425;0.5999339;0.3941684;0.4508839;0.5879309;346.4;0.2370752;False;6/24/2025 4:56:32 PM:68;1750773392068;;
