X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
825;413;0.4301602;0.4051837;0.4301602;0.4051837;18975.2;0.05528846;True;7/6/2025 6:07:04 PM:742;1751814424742;;
813;417;0.4235403;0.4088249;0.3475679;0.4507106;19052.7;0.1175396;True;7/6/2025 6:07:04 PM:788;1751814424788;;
803;447;0.4182372;0.4388224;0.355369;0.7925827;18873.5;0.1560636;True;7/6/2025 6:07:04 PM:833;1751814424833;;
800;467;0.416884;0.4579318;0.3992917;0.7050925;18731.3;0.1563881;True;7/6/2025 6:07:04 PM:872;1751814424872;;
810;487;0.4221396;0.4782539;0.4891231;0.7360539;18532.8;0.1641075;True;7/6/2025 6:07:04 PM:915;1751814424915;;
836;506;0.4359075;0.4967281;0.627519;0.7539653;18452.8;0.1503253;True;7/6/2025 6:07:04 PM:953;1751814424953;;
857;520;0.4467967;0.5104306;0.6176084;0.7255222;18380.9;0.1502237;True;7/6/2025 6:07:04 PM:985;1751814424985;;
883;526;0.4603152;0.5162519;0.6208641;0.5856502;18215.3;0.170765;True;7/6/2025 6:07:05 PM:30;1751814425030;;
910;554;0.473982;0.5436501;0.6350297;0.8659949;18076.3;0.1655571;True;7/6/2025 6:07:05 PM:75;1751814425075;;
937;573;0.4880459;0.5621659;0.6547616;0.7818702;17999.0;0.1666945;True;7/6/2025 6:07:05 PM:119;1751814425119;;
935;591;0.4870471;0.5796201;0.4748016;0.7922337;17868.1;0.1695621;True;7/6/2025 6:07:05 PM:161;1751814425161;;
898;611;0.467889;0.5994782;0.2338919;0.8416875;17708.0;0.1748081;True;7/6/2025 6:07:05 PM:205;1751814425205;;
864;619;0.4501656;0.6077159;0.2065267;0.7212127;17599.7;0.1706836;True;7/6/2025 6:07:05 PM:243;1751814425243;;
838;628;0.4369445;0.6158222;0.2158715;0.7515357;17502.3;0.1706443;True;7/6/2025 6:07:05 PM:275;1751814425275;;
810;634;0.4223629;0.622063;0.2141056;0.7113891;17397.8;0.175752;True;7/6/2025 6:07:05 PM:311;1751814425311;;
780;640;0.4063807;0.6283393;0.202959;0.7084368;17232.1;0.1753856;True;7/6/2025 6:07:05 PM:353;1751814425353;;
