X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
874;508;0.4554449;0.471113;0.4554449;0.471113;550.3;0.3501879;True;5/23/2025 10:59:30 PM:827;1748030370827;;
856;574;0.4461179;0.5323836;0.4070231;0.6536697;550.3;0.350542;True;5/23/2025 10:59:30 PM:937;1748030370937;;
854;634;0.4450048;0.587907;0.4246235;0.7106822;550.2;0.3502513;True;5/23/2025 10:59:31 PM:44;1748030371044;;
679;635;0.3537457;0.5882933;0.2498764;0.5990136;550.1;0.3493659;True;5/23/2025 10:59:31 PM:150;1748030371150;;
952;269;0.4962575;0.2642592;0.5844478;0.09256212;551.1;0.3500315;True;5/23/2025 10:59:31 PM:382;1748030371382;;
908;305;0.4733314;0.2998371;0.4110423;0.4301762;552.0;0.3501295;True;5/23/2025 10:59:31 PM:477;1748030371477;;
871;385;0.4537833;0.3782749;0.3846012;0.5699656;552.9;0.351225;True;5/23/2025 10:59:31 PM:547;1748030371547;;
869;484;0.4527279;0.4749593;0.4272443;0.6736451;553.7;0.3504107;True;5/23/2025 10:59:31 PM:616;1748030371616;;
870;511;0.4534805;0.5017182;0.4619277;0.6237087;554.4;0.3500646;True;5/23/2025 10:59:31 PM:675;1748030371675;;
870;532;0.4534475;0.522208;0.4416237;0.6398951;555.1;0.3500919;True;5/23/2025 10:59:31 PM:730;1748030371730;;
1036;475;0.5397157;0.4662282;0.6622341;0.3258129;555.7;0.3502735;True;5/23/2025 10:59:31 PM:787;1748030371787;;
1048;480;0.5461496;0.4715093;0.5737388;0.5421029;556.3;0.3506369;True;5/23/2025 10:59:31 PM:844;1748030371844;;
1066;476;0.555603;0.46704;0.5944534;0.4333102;556.9;0.3508686;True;5/23/2025 10:59:31 PM:902;1748030371902;;
1063;482;0.5537539;0.4728732;0.5217257;0.5405276;557.4;0.3503621;True;5/23/2025 10:59:31 PM:959;1748030371959;;
1066;561;0.5552456;0.5504972;0.5688027;0.7392089;557.8;0.3510036;True;5/23/2025 10:59:32 PM:18;1748030372018;;
1069;536;0.5569587;0.5257001;0.5744606;0.4244119;558.2;0.3507512;True;5/23/2025 10:59:32 PM:77;1748030372077;;
1045;492;0.5446919;0.4827484;0.4841337;0.3388903;558.4;0.350607;True;5/23/2025 10:59:32 PM:127;1748030372127;;
1060;377;0.5523394;0.3700495;0.5956624;0.1515044;558.7;0.3496796;True;5/23/2025 10:59:32 PM:179;1748030372179;;
1054;269;0.5492007;0.2638191;0.5176075;0.06687878;558.9;0.3492299;True;5/23/2025 10:59:32 PM:232;1748030372232;;
1049;206;0.5465154;0.2020517;0.5138629;0.05162967;559.1;0.348736;True;5/23/2025 10:59:32 PM:284;1748030372284;;
1047;169;0.5456792;0.1659769;0.5228572;0.05132997;559.4;0.3486028;True;5/23/2025 10:59:32 PM:334;1748030372334;;
1048;146;0.5460011;0.1434693;0.551553;0.0510303;559.7;0.3492028;True;5/23/2025 10:59:32 PM:386;1748030372386;;
1046;134;0.5449286;0.132238;0.5220755;0.06525937;560.0;0.3493637;True;5/23/2025 10:59:32 PM:442;1748030372442;;
1039;125;0.5414635;0.1229514;0.5030957;0.05477704;560.3;0.3497585;True;5/23/2025 10:59:32 PM:494;1748030372494;;
1037;118;0.5402921;0.1158415;0.5120353;0.05082479;560.6;0.3492063;True;5/23/2025 10:59:32 PM:547;1748030372547;;
1000;143;0.5208377;0.1407942;0.4411279;0.2478896;560.8;0.3494136;True;5/23/2025 10:59:32 PM:600;1748030372600;;
1000;135;0.5211926;0.1329352;0.5259959;0.06634896;561.0;0.3490919;True;5/23/2025 10:59:32 PM:655;1748030372655;;
1004;128;0.5233513;0.1256238;0.5423288;0.05847511;561.2;0.3496099;True;5/23/2025 10:59:32 PM:715;1748030372715;;
1002;130;0.5223387;0.1281255;0.5017612;0.1565324;561.2;0.3495714;True;5/23/2025 10:59:32 PM:770;1748030372770;;
996;124;0.5189723;0.1215699;0.4825054;0.05469458;561.2;0.3493135;True;5/23/2025 10:59:32 PM:822;1748030372822;;
957;108;0.4987274;0.1067336;0.4210263;0.008735528;561.3;0.3991161;False;5/23/2025 10:59:32 PM:876;1748030372876;;
933;162;0.4860036;0.1592342;0.4196802;0.3056313;561.3;0.3495009;True;5/23/2025 10:59:32 PM:927;1748030372927;;
931;162;0.4854086;0.1589676;0.4607454;0.1286611;561.3;0.3497095;True;5/23/2025 10:59:32 PM:982;1748030372982;;
931;151;0.4851636;0.1487894;0.4728711;0.06138442;561.4;0.3492071;True;5/23/2025 10:59:33 PM:37;1748030373037;;
912;161;0.4750817;0.1586853;0.4154333;0.2158936;561.5;0.3496055;True;5/23/2025 10:59:33 PM:95;1748030373095;;
911;155;0.4748618;0.1520828;0.4703951;0.08231032;561.6;0.3495881;True;5/23/2025 10:59:33 PM:147;1748030373147;;
909;146;0.4738817;0.1437857;0.4463233;0.06228193;561.6;0.3498438;True;5/23/2025 10:59:33 PM:199;1748030373199;;
903;146;0.4706383;0.143543;0.4288386;0.1163128;561.6;0.3496889;True;5/23/2025 10:59:33 PM:250;1748030373250;;
893;140;0.4655584;0.1373422;0.4152248;0.06111946;561.6;0.3496577;True;5/23/2025 10:59:33 PM:302;1748030373302;;
896;141;0.4671411;0.1387347;0.4806562;0.1549203;561.5;0.3500219;True;5/23/2025 10:59:33 PM:353;1748030373353;;
902;137;0.4702779;0.135225;0.4939633;0.07607011;561.4;0.3497424;True;5/23/2025 10:59:33 PM:406;1748030373406;;
902;138;0.4702769;0.1353776;0.4702412;0.1381272;561.3;0.3494046;True;5/23/2025 10:59:33 PM:459;1748030373459;;
899;132;0.4686269;0.1298171;0.4422309;0.06078497;561.3;0.349628;True;5/23/2025 10:59:33 PM:509;1748030373509;;
891;127;0.4643689;0.1250987;0.4231107;0.05601003;561.3;0.3496283;True;5/23/2025 10:59:33 PM:561;1748030373561;;
890;123;0.4637027;0.1210451;0.4403913;0.05249033;561.2;0.3501154;True;5/23/2025 10:59:33 PM:614;1748030373614;;
853;123;0.4444362;0.1209565;0.3658906;0.07884468;561.2;0.3493589;True;5/23/2025 10:59:33 PM:667;1748030373667;;
832;123;0.4334549;0.1208881;0.3660912;0.07873449;561.1;0.3493525;True;5/23/2025 10:59:33 PM:713;1748030373713;;
833;121;0.4339582;0.119343;0.440343;0.06230996;561.1;0.3492009;True;5/23/2025 10:59:33 PM:764;1748030373764;;
833;120;0.4341429;0.1180649;0.4375963;0.06150753;561.0;0.3489;True;5/23/2025 10:59:33 PM:817;1748030373817;;
839;119;0.4370911;0.1173681;0.4629387;0.06376147;561.0;0.3496193;True;5/23/2025 10:59:33 PM:869;1748030373869;;
838;118;0.4367809;0.1157087;0.4252415;0.05356465;561.0;0.3495911;True;5/23/2025 10:59:33 PM:923;1748030373923;;
833;152;0.4343365;0.1493828;0.4042202;0.260227;560.9;0.3491696;True;5/23/2025 10:59:33 PM:974;1748030373974;;
835;145;0.435334;0.1425427;0.4490356;0.06101042;560.9;0.3489468;True;5/23/2025 10:59:34 PM:27;1748030374027;;
825;145;0.4297758;0.1422851;0.3876589;0.1040107;560.9;0.349495;True;5/23/2025 10:59:34 PM:81;1748030374081;;
719;200;0.3747135;0.1966649;0.2596964;0.3401271;560.9;0.349367;True;5/23/2025 10:59:34 PM:133;1748030374133;;
735;191;0.3828383;0.1878624;0.4342232;0.09773265;560.9;0.3490959;True;5/23/2025 10:59:34 PM:184;1748030374184;;
652;193;0.3397405;0.189589;0.2431837;0.207147;560.9;0.3488866;True;5/23/2025 10:59:34 PM:236;1748030374236;;
652;172;0.3397501;0.169404;0.3566763;0.05066478;560.8;0.3491656;True;5/23/2025 10:59:34 PM:287;1748030374287;;
652;163;0.33981;0.1598295;0.3576078;0.06891323;560.8;0.3491072;True;5/23/2025 10:59:34 PM:340;1748030374340;;
665;155;0.3467547;0.1525383;0.3997054;0.06578258;560.8;0.3496457;True;5/23/2025 10:59:34 PM:395;1748030374395;;
681;149;0.3551166;0.1469067;0.4141073;0.063052;560.7;0.3496517;True;5/23/2025 10:59:34 PM:448;1748030374448;;
688;148;0.3585432;0.1459629;0.4046634;0.1110451;560.5;0.349814;True;5/23/2025 10:59:34 PM:500;1748030374500;;
689;149;0.3589726;0.1467583;0.3901011;0.1555101;560.4;0.3508157;True;5/23/2025 10:59:34 PM:552;1748030374552;;
694;151;0.3616447;0.1489855;0.4079441;0.1740172;560.3;0.3508035;True;5/23/2025 10:59:34 PM:597;1748030374597;;
697;151;0.3631665;0.1483758;0.4035601;0.1150561;560.2;0.3504409;True;5/23/2025 10:59:34 PM:652;1748030374652;;
700;144;0.3648582;0.1414825;0.4074058;0.06674632;560.1;0.3506642;True;5/23/2025 10:59:34 PM:705;1748030374705;;
701;139;0.3655974;0.1366089;0.3860919;0.06632547;560.0;0.3502363;True;5/23/2025 10:59:34 PM:759;1748030374759;;
702;137;0.3659921;0.135215;0.3892287;0.08179244;559.8;0.3502324;True;5/23/2025 10:59:34 PM:812;1748030374812;;
705;135;0.3674444;0.1326459;0.4061627;0.06853859;559.7;0.3498994;True;5/23/2025 10:59:34 PM:862;1748030374862;;
724;132;0.377291;0.1301204;0.4458817;0.06351913;559.6;0.3505958;True;5/23/2025 10:59:34 PM:913;1748030374913;;
729;131;0.379716;0.1285602;0.4262313;0.06607728;559.5;0.3500322;True;5/23/2025 10:59:34 PM:964;1748030374964;;
744;129;0.3878781;0.1273865;0.453642;0.06641319;559.4;0.3509089;True;5/23/2025 10:59:35 PM:17;1748030375017;;
750;128;0.3907689;0.126226;0.4418551;0.06371237;559.4;0.3505264;True;5/23/2025 10:59:35 PM:69;1748030375069;;
757;128;0.3947426;0.1261033;0.4514464;0.07116137;559.3;0.3504606;True;5/23/2025 10:59:35 PM:120;1748030375120;;
758;125;0.3952818;0.122618;0.4376633;0.04379265;559.3;0.3508291;True;5/23/2025 10:59:35 PM:170;1748030375170;;
759;137;0.3953345;0.13506;0.4340895;0.1959838;559.2;0.3505905;True;5/23/2025 10:59:35 PM:222;1748030375222;;
763;133;0.3977901;0.1308927;0.4499917;0.06015191;559.2;0.3505341;True;5/23/2025 10:59:35 PM:274;1748030375274;;
765;132;0.398708;0.1301161;0.4278893;0.07868257;559.1;0.3498457;True;5/23/2025 10:59:35 PM:327;1748030375327;;
766;130;0.3993209;0.1280223;0.4064017;0.06470736;559.1;0.3896862;False;5/23/2025 10:59:35 PM:379;1748030375379;;
767;129;0.3995075;0.1264804;0.4303747;0.06517693;559.1;0.3504287;True;5/23/2025 10:59:35 PM:432;1748030375432;;
767;127;0.3998984;0.1251166;0.4228612;0.06197609;559.1;0.3504194;True;5/23/2025 10:59:35 PM:479;1748030375479;;
768;125;0.4004326;0.1229807;0.4113059;0.05405411;559.0;0.3499416;True;5/23/2025 10:59:35 PM:532;1748030375532;;
777;124;0.4050335;0.1222319;0.4543457;0.06109417;559.1;0.3503991;True;5/23/2025 10:59:35 PM:585;1748030375585;;
777;123;0.4050774;0.1208879;0.430773;0.05391149;559.1;0.3504745;True;5/23/2025 10:59:35 PM:636;1748030375636;;
782;122;0.4078043;0.1199656;0.4520522;0.1061002;559.2;0.3506761;True;5/23/2025 10:59:35 PM:687;1748030375687;;
784;127;0.4083491;0.1253106;0.4192035;0.1635199;559.3;0.3509292;True;5/23/2025 10:59:35 PM:738;1748030375738;;
784;124;0.4087125;0.1221653;0.4363405;0.06277537;559.4;0.3506857;True;5/23/2025 10:59:35 PM:791;1748030375791;;
799;123;0.4165712;0.1206501;0.4774739;0.06875633;559.3;0.3497992;True;5/23/2025 10:59:35 PM:842;1748030375842;;
1151;233;0.5998079;0.2292276;0.7822491;0.4284933;559.5;0.3498394;True;5/23/2025 10:59:35 PM:893;1748030375893;;
1313;340;0.6838891;0.3338173;0.7913179;0.5217012;559.6;0.3503462;True;5/23/2025 10:59:35 PM:944;1748030375944;;
1302;429;0.6783478;0.4213809;0.6321232;0.5878135;559.8;0.349353;True;5/23/2025 10:59:35 PM:997;1748030375997;;
1451;430;0.7559196;0.4218405;0.8581514;0.4251426;559.9;0.3504667;True;5/23/2025 10:59:36 PM:48;1748030376048;;
1424;466;0.7416999;0.4575795;0.6237605;0.5671518;560.1;0.3506303;True;5/23/2025 10:59:36 PM:99;1748030376099;;
1448;465;0.754168;0.4567435;0.7859698;0.4265782;560.2;0.3496226;True;5/23/2025 10:59:36 PM:152;1748030376152;;
1445;470;0.7526153;0.4614888;0.7435207;0.4968643;560.3;0.3513368;True;5/23/2025 10:59:36 PM:205;1748030376205;;
1452;470;0.7566707;0.4616772;0.7750971;0.4654905;560.5;0.3507107;True;5/23/2025 10:59:36 PM:258;1748030376258;;
1461;470;0.7610738;0.4615225;0.7836687;0.4513649;560.6;0.3500693;True;5/23/2025 10:59:36 PM:311;1748030376311;;
1462;484;0.7616806;0.4753346;0.7680038;0.554856;560.8;0.3510338;True;5/23/2025 10:59:36 PM:362;1748030376362;;
1510;548;0.7868386;0.5377657;0.858713;0.7040229;561.1;0.3507452;True;5/23/2025 10:59:36 PM:417;1748030376417;;
1513;613;0.7884015;0.6016302;0.8046228;0.7692757;561.3;0.3509942;True;5/23/2025 10:59:36 PM:468;1748030376468;;
1510;672;0.78665;0.6595268;0.7593034;0.8180747;561.5;0.3514721;True;5/23/2025 10:59:36 PM:522;1748030376522;;
1522;664;0.7931826;0.6516076;0.8317539;0.5784387;561.8;0.3508449;True;5/23/2025 10:59:36 PM:574;1748030376574;;
1523;658;0.7932909;0.6453287;0.7975713;0.5742884;562.0;0.3501489;True;5/23/2025 10:59:36 PM:627;1748030376627;;
1520;706;0.7920274;0.6923684;0.7711138;0.8307427;562.2;0.3511591;True;5/23/2025 10:59:36 PM:679;1748030376679;;
1520;692;0.7919733;0.67902;0.7841526;0.5825192;562.4;0.3501842;True;5/23/2025 10:59:36 PM:732;1748030376732;;
1532;699;0.798257;0.6854267;0.8380888;0.7323693;562.7;0.350875;True;5/23/2025 10:59:36 PM:785;1748030376785;;
1527;699;0.7954413;0.685532;0.7661799;0.6888186;562.9;0.3502677;True;5/23/2025 10:59:36 PM:836;1748030376836;;
