X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
1894;141;0.9869509;0.1308012;0.9869509;0.1308012;514.0;0.3279223;True;5/24/2025 3:55:49 PM:857;1748091349857;;
1421;640;0.7401199;0.5932479;0.6279041;0.7952268;514.0;0.3251016;True;5/24/2025 3:55:50 PM:20;1748091350020;;
1415;435;0.737261;0.4034697;0.7304233;0.1886825;514.3;0.3267887;True;5/24/2025 3:55:50 PM:158;1748091350158;;
1416;377;0.7377035;0.3493742;0.7407569;0.203773;514.4;0.3256373;True;5/24/2025 3:55:50 PM:268;1748091350268;;
1370;358;0.7136469;0.3324053;0.6592326;0.2222158;514.6;0.3239709;True;5/24/2025 3:55:50 PM:361;1748091350361;;
1462;352;0.7615002;0.326754;0.849124;0.2352703;514.7;0.3263377;True;5/24/2025 3:55:50 PM:447;1748091350447;;
2011;490;1.047839;0.4542843;1.119898;0.5271226;514.8;0.3266144;True;5/24/2025 3:55:52 PM:554;1748091352554;Offscreen;
1883;534;0.9809573;0.4946134;0.8842457;0.6491147;514.8;0.3295832;True;5/24/2025 3:55:52 PM:613;1748091352613;;
1887;606;0.9830418;0.5619606;1.013978;0.7602808;514.8;0.3315308;True;5/24/2025 3:55:52 PM:662;1748091352662;;
1903;611;0.9912556;0.5659356;1.069212;0.63305;514.9;0.3326385;True;5/24/2025 3:55:52 PM:711;1748091352711;;
1906;480;0.993041;0.4448563;1.022867;0.2570084;514.9;0.3292336;True;5/24/2025 3:55:52 PM:770;1748091352770;;
1908;547;0.9940269;0.5065562;1.024505;0.7065479;515.0;0.3296848;True;5/24/2025 3:55:52 PM:818;1748091352818;;
1926;571;1.003625;0.5294908;1.075852;0.6573841;515.0;0.3319331;True;5/24/2025 3:55:52 PM:874;1748091352874;Offscreen;
1938;572;1.009837;0.5304257;1.076915;0.5911852;515.0;0.3321357;True;5/24/2025 3:55:52 PM:922;1748091352922;Offscreen;
1942;607;1.011572;0.5627621;1.063981;0.7186023;515.1;0.3321845;True;5/24/2025 3:55:52 PM:970;1748091352970;Offscreen;
1945;638;1.013141;0.5914333;1.064488;0.7318257;515.1;0.3304975;True;5/24/2025 3:55:53 PM:24;1748091353024;Offscreen;
1948;660;1.014755;0.6114584;1.068171;0.7432827;515.2;0.3306452;True;5/24/2025 3:55:53 PM:71;1748091353071;Offscreen;
1951;666;1.016155;0.6172773;1.038557;0.7062017;515.2;0.3314633;True;5/24/2025 3:55:53 PM:122;1748091353122;Offscreen;
