X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
440;469;0.2295388;0.4344262;0.2295388;0.4344262;516.7;0.348634;True;5/23/2025 11:45:20 PM:60;1748033120060;;
544;449;0.2834447;0.4159989;0.3647263;0.3430452;516.7;0.3493613;True;5/23/2025 11:45:20 PM:167;1748033120167;;
573;418;0.2988371;0.3875834;0.3492619;0.288777;516.7;0.3483714;True;5/23/2025 11:45:20 PM:270;1748033120270;;
575;409;0.2997267;0.3788063;0.319302;0.3080458;516.7;0.3476895;True;5/23/2025 11:45:20 PM:370;1748033120370;;
509;419;0.2652518;0.3885414;0.1959538;0.4316046;516.5;0.3483521;True;5/23/2025 11:45:20 PM:455;1748033120455;;
454;396;0.2366852;0.3670909;0.1693511;0.272456;516.4;0.3488184;True;5/23/2025 11:45:20 PM:539;1748033120539;;
468;396;0.244126;0.3666737;0.2869408;0.3553311;516.4;0.3485007;True;5/23/2025 11:45:20 PM:604;1748033120604;;
477;434;0.2486514;0.4024684;0.2874129;0.5155938;516.3;0.3478111;True;5/23/2025 11:45:20 PM:661;1748033120661;;
441;433;0.229708;0.4010213;0.1619294;0.3641068;516.2;0.3480439;True;5/23/2025 11:45:20 PM:711;1748033120711;;
422;383;0.2200578;0.3549089;0.1705717;0.1999589;516.1;0.3486289;True;5/23/2025 11:45:20 PM:760;1748033120760;;
571;471;0.2978793;0.4370227;0.4296553;0.6199329;516.2;0.3490448;True;5/23/2025 11:45:20 PM:810;1748033120810;;
1043;883;0.5435697;0.8183873;0.7286305;1.137633;516.5;0.3485732;True;5/23/2025 11:45:20 PM:859;1748033120859;;
1254;1078;0.6534665;0.9989426;0.7533539;1.180361;517.1;0.348555;True;5/23/2025 11:45:20 PM:911;1748033120911;;
1272;1114;0.6627053;1.031693;0.6781736;1.087574;517.7;0.3484308;True;5/23/2025 11:45:20 PM:961;1748033120961;Offscreen;
1327;1137;0.6913279;1.053634;0.7363043;1.099741;518.4;0.3481209;True;5/23/2025 11:45:21 PM:13;1748033121013;Offscreen;
1379;1196;0.7186348;1.1078;0.7684824;1.212008;519.1;0.3487292;True;5/23/2025 11:45:21 PM:61;1748033121061;Offscreen;
1410;1234;0.7345993;1.143095;0.7760574;1.23582;519.7;0.3487325;True;5/23/2025 11:45:21 PM:102;1748033121102;Offscreen;
1402;1228;0.730298;1.137149;0.7006872;1.070669;520.4;0.349528;True;5/23/2025 11:45:21 PM:154;1748033121154;Offscreen;
1396;1203;0.7273775;1.114709;0.6925209;0.9472775;521.0;0.3499534;True;5/23/2025 11:45:21 PM:203;1748033121203;Offscreen;
1393;1187;0.7256393;1.099427;0.6608066;0.9463195;521.6;0.3493909;True;5/23/2025 11:45:21 PM:251;1748033121251;Offscreen;
1389;1181;0.7239458;1.093987;0.7098338;0.9689175;522.0;0.3493742;True;5/23/2025 11:45:21 PM:301;1748033121301;Offscreen;
1395;1180;0.7268249;1.09337;0.7424831;0.9858819;522.2;0.349413;True;5/23/2025 11:45:21 PM:350;1748033121350;Offscreen;
1394;1177;0.7261676;1.090722;0.7035018;1.070407;522.4;0.3486531;True;5/23/2025 11:45:21 PM:399;1748033121399;Offscreen;
1390;1175;0.7240559;1.088701;0.6797714;1.069093;522.6;0.3486273;True;5/23/2025 11:45:21 PM:451;1748033121451;Offscreen;
1265;731;0.6589965;0.7175882;0.5767628;0.5096425;524.0;0.3490526;True;5/23/2025 11:45:21 PM:661;1748033121661;;
1264;755;0.6584136;0.7408863;0.6511548;0.865638;525.3;0.3485729;True;5/23/2025 11:45:21 PM:719;1748033121719;;
1035;714;0.5392706;0.7003477;0.3855638;0.5812819;525.5;0.3504307;True;5/23/2025 11:45:21 PM:775;1748033121775;;
