X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
1214;336;0.6324936;0.3117435;0.6324936;0.3117435;698.0;0.3425495;True;5/24/2025 1:06:01 AM:229;1748037961229;;
1347;1098;0.7017633;1.01707;0.7853518;1.260918;698.3;0.3433426;True;5/24/2025 1:06:01 AM:357;1748037961357;Offscreen;
1329;1087;0.692525;1.007375;0.6528234;0.751662;698.4;0.3438227;True;5/24/2025 1:06:01 AM:461;1748037961461;Offscreen;
1326;1086;0.69074;1.005734;0.6665958;1.003394;698.7;0.3428602;True;5/24/2025 1:06:01 AM:567;1748037961567;Offscreen;
1316;1073;0.6854756;0.9939449;0.6454927;0.9445579;699.0;0.3416727;True;5/24/2025 1:06:01 AM:656;1748037961656;;
1314;949;0.6848763;0.8791874;0.6596142;0.6639048;699.2;0.3400733;True;5/24/2025 1:06:01 AM:745;1748037961745;;
1314;892;0.6844862;0.8264665;0.6715884;0.650561;699.6;0.3414904;True;5/24/2025 1:06:01 AM:810;1748037961810;;
1292;635;0.6733375;0.5886663;0.6128092;0.3155716;699.8;0.3417332;True;5/24/2025 1:06:01 AM:875;1748037961875;;
1284;488;0.6687688;0.4525455;0.6192051;0.2421669;700.1;0.3430392;True;5/24/2025 1:06:01 AM:926;1748037961926;;
1268;430;0.660632;0.3983536;0.5972564;0.2699312;700.3;0.3417207;True;5/24/2025 1:06:01 AM:975;1748037961975;;
1254;390;0.6533015;0.3619745;0.5912263;0.2580478;700.6;0.3419372;True;5/24/2025 1:06:02 AM:24;1748037962024;;
1252;389;0.6521626;0.3605856;0.6124318;0.3488872;700.8;0.3416303;True;5/24/2025 1:06:02 AM:75;1748037962075;;
1247;368;0.6497164;0.3411048;0.6056157;0.272812;701.0;0.3399291;True;5/24/2025 1:06:02 AM:149;1748037962149;;
1246;368;0.6491597;0.3407408;0.6208372;0.3342682;701.0;0.3387893;True;5/24/2025 1:06:02 AM:215;1748037962215;;
1244;344;0.648275;0.319276;0.6106231;0.2330278;701.1;0.3414954;True;5/24/2025 1:06:02 AM:284;1748037962284;;
1239;342;0.6457081;0.3170054;0.5977687;0.2812311;701.0;0.3411225;True;5/24/2025 1:06:02 AM:338;1748037962338;;
1234;337;0.6432135;0.312875;0.5927328;0.2589445;701.2;0.3408214;True;5/24/2025 1:06:02 AM:385;1748037962385;;
1231;336;0.6415364;0.3113148;0.5940198;0.2720202;701.3;0.3408744;True;5/24/2025 1:06:02 AM:433;1748037962433;;
1231;343;0.6413651;0.3177482;0.6048505;0.3624427;701.3;0.3393056;True;5/24/2025 1:06:02 AM:499;1748037962499;;
1256;500;0.6546739;0.4637571;0.6969959;0.6753827;701.4;0.3408878;True;5/24/2025 1:06:02 AM:562;1748037962562;;
1238;431;0.64528;0.3991148;0.5860701;0.2278218;701.5;0.3427719;True;5/24/2025 1:06:02 AM:630;1748037962630;;
1226;397;0.6388137;0.3684309;0.5821218;0.2342544;701.6;0.3419643;True;5/24/2025 1:06:02 AM:689;1748037962689;;
1224;386;0.637702;0.3580055;0.597276;0.2564547;701.6;0.3413735;True;5/24/2025 1:06:02 AM:734;1748037962734;;
1223;379;0.6370537;0.3513313;0.5993239;0.2628655;701.7;0.3432486;True;5/24/2025 1:06:02 AM:783;1748037962783;;
1219;370;0.6353897;0.3430077;0.5905935;0.2447318;701.6;0.3415949;True;5/24/2025 1:06:02 AM:831;1748037962831;;
1218;367;0.634595;0.3404223;0.6168664;0.2646105;701.7;0.3439663;True;5/24/2025 1:06:02 AM:878;1748037962878;;
1217;363;0.6339894;0.3367048;0.6163849;0.2537185;701.7;0.3421685;True;5/24/2025 1:06:02 AM:928;1748037962928;;
1221;359;0.6362459;0.3332438;0.6536305;0.2488679;701.8;0.3421767;True;5/24/2025 1:06:02 AM:976;1748037962976;;
1220;359;0.6355993;0.3329113;0.60939;0.2658155;701.8;0.3430464;True;5/24/2025 1:06:03 AM:24;1748037963024;;
1220;358;0.6355072;0.3317062;0.6176664;0.2826017;701.8;0.3408554;True;5/24/2025 1:06:03 AM:75;1748037963075;;
1215;357;0.6332855;0.3313494;0.5960181;0.2683651;701.9;0.3428213;True;5/24/2025 1:06:03 AM:126;1748037963126;;
1211;357;0.6307757;0.3308011;0.5897142;0.2656765;701.9;0.3419567;True;5/24/2025 1:06:03 AM:174;1748037963174;;
1210;355;0.6305553;0.3288049;0.6268349;0.2535563;702.0;0.3412003;True;5/24/2025 1:06:03 AM:224;1748037963224;;
1204;350;0.6275917;0.3248855;0.5871016;0.238981;702.0;0.3412015;True;5/24/2025 1:06:03 AM:277;1748037963277;;
1199;349;0.6246884;0.3237468;0.5809723;0.2492935;702.1;0.3417681;True;5/24/2025 1:06:03 AM:323;1748037963323;;
1195;347;0.6225396;0.3220145;0.5813755;0.2431954;702.1;0.3427994;True;5/24/2025 1:06:03 AM:371;1748037963371;;
1191;347;0.6208085;0.321462;0.5811321;0.2493742;702.2;0.3405263;True;5/24/2025 1:06:03 AM:424;1748037963424;;
1190;343;0.6198846;0.3177554;0.5828118;0.2261395;702.3;0.3409707;True;5/24/2025 1:06:03 AM:470;1748037963470;;
1188;342;0.6190241;0.3171871;0.5816918;0.2420465;702.3;0.3399145;True;5/24/2025 1:06:03 AM:518;1748037963518;;
1187;340;0.6184615;0.3152382;0.5971886;0.2787487;702.3;0.3420631;True;5/24/2025 1:06:03 AM:567;1748037963567;;
1186;340;0.6179796;0.3149788;0.6002606;0.2562125;702.3;0.3400018;True;5/24/2025 1:06:03 AM:612;1748037963612;;
1184;337;0.6169439;0.3126856;0.5819305;0.2353749;702.3;0.3423615;True;5/24/2025 1:06:03 AM:661;1748037963661;;
1183;337;0.6164825;0.3121828;0.5998513;0.3065479;702.4;0.3406119;True;5/24/2025 1:06:03 AM:708;1748037963708;;
1181;335;0.6151873;0.3105181;0.581091;0.248803;702.3;0.3411282;True;5/24/2025 1:06:03 AM:770;1748037963770;;
1179;334;0.6144078;0.3095056;0.5811396;0.2488439;702.2;0.3405146;True;5/24/2025 1:06:03 AM:820;1748037963820;;
1178;333;0.6137978;0.3086299;0.5811825;0.248226;702.2;0.3401128;True;5/24/2025 1:06:03 AM:873;1748037963873;;
1181;331;0.6152908;0.3072953;0.6270381;0.2426631;702.2;0.3413787;True;5/24/2025 1:06:03 AM:928;1748037963928;;
1177;331;0.6135296;0.3071814;0.5809255;0.2506272;702.3;0.3410003;True;5/24/2025 1:06:03 AM:992;1748037963992;;
1176;331;0.6127565;0.3066533;0.5834483;0.2570613;702.3;0.3412412;True;5/24/2025 1:06:04 AM:48;1748037964048;;
1176;330;0.6126649;0.3060067;0.5883384;0.2621957;702.4;0.3401624;True;5/24/2025 1:06:04 AM:95;1748037964095;;
1175;328;0.6120243;0.304443;0.581826;0.2396521;702.6;0.3394011;True;5/24/2025 1:06:04 AM:142;1748037964142;;
1174;328;0.6115062;0.3037914;0.5814028;0.2443949;702.6;0.3409352;True;5/24/2025 1:06:04 AM:188;1748037964188;;
1173;327;0.6110681;0.3030404;0.5990273;0.2421586;702.8;0.3409187;True;5/24/2025 1:06:04 AM:236;1748037964236;;
1173;326;0.6109777;0.3021745;0.5879239;0.260763;702.9;0.3408212;True;5/24/2025 1:06:04 AM:287;1748037964287;;
1172;325;0.6106497;0.3012131;0.5844164;0.2790128;703.0;0.3387981;True;5/24/2025 1:06:04 AM:334;1748037964334;;
1171;324;0.6104033;0.3005858;0.5930948;0.2715693;703.2;0.338258;True;5/24/2025 1:06:04 AM:378;1748037964378;;
1171;315;0.6101664;0.2925085;0.6047941;0.2029675;702.9;0.3396948;True;5/24/2025 1:06:04 AM:426;1748037964426;;
1171;303;0.609973;0.2810492;0.6034895;0.1762001;702.7;0.3449779;True;5/24/2025 1:06:04 AM:473;1748037964473;;
1170;297;0.609865;0.2752883;0.5928457;0.187746;702.5;0.343291;True;5/24/2025 1:06:04 AM:518;1748037964518;;
1170;286;0.6095387;0.2655362;0.588994;0.1616547;702.3;0.3411261;True;5/24/2025 1:06:04 AM:566;1748037964566;;
1169;284;0.6092414;0.2630728;0.5881492;0.1865489;702.1;0.3424762;True;5/24/2025 1:06:04 AM:611;1748037964611;;
1169;279;0.6090748;0.2590992;0.5893153;0.1740768;701.9;0.3409848;True;5/24/2025 1:06:04 AM:659;1748037964659;;
1169;274;0.6089682;0.2538819;0.593998;0.1601176;701.7;0.3436213;True;5/24/2025 1:06:04 AM:707;1748037964707;;
1168;268;0.6087237;0.2490023;0.5879427;0.1550831;701.5;0.3430386;True;5/24/2025 1:06:04 AM:755;1748037964755;;
1168;265;0.6085306;0.2456903;0.5972951;0.1564695;701.4;0.3425631;True;5/24/2025 1:06:04 AM:801;1748037964801;;
1185;264;0.6175436;0.2450756;0.6645036;0.18126;701.4;0.341237;True;5/24/2025 1:06:04 AM:845;1748037964845;;
1183;262;0.6164152;0.2427962;0.5919095;0.15913;701.3;0.343942;True;5/24/2025 1:06:04 AM:894;1748037964894;;
1181;260;0.6151425;0.2409869;0.5877194;0.1583613;701.2;0.3435991;True;5/24/2025 1:06:04 AM:940;1748037964940;;
1179;257;0.6142622;0.2381727;0.58846;0.1489923;701.0;0.3423086;True;5/24/2025 1:06:04 AM:988;1748037964988;;
1177;256;0.6135143;0.2370896;0.5878965;0.1753179;700.8;0.3421717;True;5/24/2025 1:06:05 AM:37;1748037965037;;
1181;254;0.615503;0.2352882;0.6341298;0.1984711;700.7;0.3419348;True;5/24/2025 1:06:05 AM:83;1748037965083;;
1179;253;0.6142002;0.2347768;0.5865983;0.1805071;700.5;0.3400118;True;5/24/2025 1:06:05 AM:129;1748037965129;;
1177;252;0.6133997;0.2338662;0.5881807;0.1899489;700.4;0.3400377;True;5/24/2025 1:06:05 AM:171;1748037965171;;
1177;251;0.6133538;0.2330382;0.5970222;0.1705505;700.3;0.3409314;True;5/24/2025 1:06:05 AM:220;1748037965220;;
1176;251;0.6125714;0.2329167;0.5868368;0.178022;700.2;0.3422627;True;5/24/2025 1:06:05 AM:268;1748037965268;;
1176;249;0.6125271;0.2311955;0.6116297;0.162373;700.1;0.3414463;True;5/24/2025 1:06:05 AM:319;1748037965319;;
1174;249;0.6118203;0.2310241;0.5885044;0.1717844;700.1;0.3421005;True;5/24/2025 1:06:05 AM:368;1748037965368;;
1173;248;0.6111771;0.2297752;0.5871391;0.200461;700.1;0.3419223;True;5/24/2025 1:06:05 AM:415;1748037965415;;
1172;247;0.6107641;0.2295605;0.5882778;0.1769484;700.1;0.3408526;True;5/24/2025 1:06:05 AM:464;1748037965464;;
1172;246;0.6107838;0.2278586;0.6111773;0.162188;700.0;0.3416783;True;5/24/2025 1:06:05 AM:511;1748037965511;;
1172;245;0.6106746;0.2277001;0.6063029;0.1732469;700.1;0.3389515;True;5/24/2025 1:06:05 AM:557;1748037965557;;
1171;245;0.6099898;0.2275465;0.5881045;0.1763011;700.2;0.3423804;True;5/24/2025 1:06:05 AM:605;1748037965605;;
1170;244;0.6094036;0.226782;0.587279;0.1669902;700.3;0.3406963;True;5/24/2025 1:06:05 AM:652;1748037965652;;
1171;242;0.6099873;0.2249047;0.6181453;0.1570215;700.3;0.3400733;True;5/24/2025 1:06:05 AM:705;1748037965705;;
1175;242;0.6123807;0.2245002;0.6358836;0.1738706;700.2;0.3403682;True;5/24/2025 1:06:05 AM:755;1748037965755;;
1174;242;0.6116963;0.2240846;0.5945271;0.165837;700.4;0.3414689;True;5/24/2025 1:06:05 AM:803;1748037965803;;
1172;240;0.6104307;0.223029;0.5865105;0.1890244;700.5;0.3399316;True;5/24/2025 1:06:05 AM:849;1748037965849;;
1170;239;0.609576;0.2221176;0.5873708;0.1994176;700.6;0.3393764;True;5/24/2025 1:06:05 AM:897;1748037965897;;
1225;259;0.6381173;0.2405078;0.7217934;0.3231319;700.7;0.3390108;True;5/24/2025 1:06:05 AM:944;1748037965944;;
1236;260;0.6438867;0.2409579;0.6820483;0.2489938;700.9;0.3423791;True;5/24/2025 1:06:05 AM:990;1748037965990;;
