X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
743;546;0.3873099;0.5056629;0.3873099;0.5056629;468.6;0.3509584;True;5/17/2025 12:00:17 PM:111;1747472417111;;
652;545;0.3397105;0.5050126;0.2707279;0.4914884;468.5;0.3514684;True;5/17/2025 12:00:17 PM:263;1747472417263;;
570;546;0.2970464;0.5062271;0.2254034;0.5222239;468.6;0.3507797;True;5/17/2025 12:00:17 PM:405;1747472417405;;
453;544;0.2359476;0.5041512;0.1502023;0.4808992;468.6;0.3518738;True;5/17/2025 12:00:17 PM:536;1747472417536;;
392;537;0.2043055;0.4979728;0.1255328;0.446099;468.5;0.3522984;True;5/17/2025 12:00:17 PM:621;1747472417621;;
386;537;0.2010679;0.4980731;0.1667617;0.5000514;468.5;0.351021;True;5/17/2025 12:00:17 PM:708;1747472417708;;
387;539;0.2015684;0.499477;0.2067689;0.5197368;468.5;0.3515307;True;5/17/2025 12:00:17 PM:779;1747472417779;;
421;541;0.2193936;0.5012974;0.2769876;0.5294189;468.4;0.3514322;True;5/17/2025 12:00:17 PM:844;1747472417844;;
421;542;0.2193526;0.5020027;0.2125607;0.5244524;468.3;0.3517371;True;5/17/2025 12:00:17 PM:897;1747472417897;;
416;542;0.2170749;0.5020701;0.1875205;0.5140953;468.2;0.3519555;True;5/17/2025 12:00:17 PM:948;1747472417948;;
406;542;0.2116389;0.5020648;0.1667803;0.5017474;468.1;0.3516398;True;5/17/2025 12:00:18 PM:0;1747472418000;;
406;542;0.2116334;0.5023717;0.1976079;0.5197341;468.1;0.3522815;True;5/17/2025 12:00:18 PM:51;1747472418051;;
406;543;0.2118512;0.5028368;0.2157734;0.5242752;468.1;0.3528849;True;5/17/2025 12:00:18 PM:104;1747472418104;;
399;543;0.2078605;0.5028368;0.1678646;0.5028369;468.1;0.3513873;True;5/17/2025 12:00:18 PM:155;1747472418155;;
394;543;0.205568;0.5028435;0.1689234;0.5033858;468.1;0.3513925;True;5/17/2025 12:00:18 PM:195;1747472418195;;
394;543;0.2054098;0.5030305;0.1931393;0.517855;468.1;0.3528335;True;5/17/2025 12:00:18 PM:246;1747472418246;;
394;543;0.2052738;0.5031716;0.1934737;0.5175678;468.2;0.3516793;True;5/17/2025 12:00:18 PM:299;1747472418299;;
517;544;0.2692985;0.5039268;0.3802044;0.5300918;468.2;0.3515188;True;5/17/2025 12:00:18 PM:352;1747472418352;;
1111;539;0.5787338;0.4991665;0.768365;0.4552532;468.3;0.3519051;True;5/17/2025 12:00:18 PM:407;1747472418407;;
1273;536;0.6633905;0.4969284;0.7463638;0.4612129;468.4;0.3514301;True;5/17/2025 12:00:18 PM:454;1747472418454;;
1440;531;0.7504456;0.4925351;0.8332327;0.4398497;468.5;0.3518836;True;5/17/2025 12:00:18 PM:502;1747472418502;;
1481;529;0.7716063;0.4903952;0.8008081;0.4484802;468.6;0.3516758;True;5/17/2025 12:00:18 PM:551;1747472418551;;
1486;528;0.7741409;0.489164;0.7791429;0.4525183;468.7;0.3522278;True;5/17/2025 12:00:18 PM:602;1747472418602;;
1490;527;0.7764063;0.4879962;0.7819556;0.4500577;468.8;0.3513309;True;5/17/2025 12:00:18 PM:656;1747472418656;;
1486;526;0.7743445;0.4876183;0.7669172;0.4568667;468.9;0.3511108;True;5/17/2025 12:00:18 PM:714;1747472418714;;
1482;526;0.7723172;0.4874907;0.7600361;0.459144;469.0;0.3508315;True;5/17/2025 12:00:18 PM:766;1747472418766;;
1527;523;0.7958155;0.4849335;0.8534516;0.4324323;469.0;0.3507641;True;5/17/2025 12:00:18 PM:819;1747472418819;;
1542;522;0.8032682;0.4836051;0.8339422;0.436951;469.1;0.3502199;True;5/17/2025 12:00:18 PM:870;1747472418870;;
1329;524;0.6923488;0.4855525;0.5363082;0.5059184;469.1;0.3516231;True;5/17/2025 12:00:18 PM:923;1747472418923;;
987;528;0.5142968;0.4891971;0.343242;0.5260587;469.1;0.3518695;True;5/17/2025 12:00:18 PM:972;1747472418972;;
846;531;0.4406879;0.4916709;0.3433652;0.526061;469.1;0.351883;True;5/17/2025 12:00:19 PM:17;1747472419017;;
790;533;0.4117883;0.4937636;0.3625396;0.527067;469.0;0.351961;True;5/17/2025 12:00:19 PM:68;1747472419068;;
753;534;0.3925723;0.4951758;0.3528796;0.525614;469.0;0.3519393;True;5/17/2025 12:00:19 PM:120;1747472419120;;
559;534;0.291333;0.4951991;0.1768087;0.5059917;468.9;0.351697;True;5/17/2025 12:00:19 PM:171;1747472419171;;
432;532;0.2254339;0.4934396;0.1392445;0.4660656;468.8;0.3517325;True;5/17/2025 12:00:19 PM:221;1747472419221;;
404;533;0.2107506;0.4937627;0.1797002;0.508581;468.7;0.3513999;True;5/17/2025 12:00:19 PM:273;1747472419273;;
373;533;0.1943782;0.4937612;0.1569746;0.4936081;468.6;0.3515483;True;5/17/2025 12:00:19 PM:327;1747472419327;;
348;532;0.1816478;0.4932477;0.1471859;0.4784084;468.5;0.352072;True;5/17/2025 12:00:19 PM:385;1747472419385;;
338;532;0.1764352;0.4932079;0.154716;0.4881522;468.4;0.35186;True;5/17/2025 12:00:19 PM:439;1747472419439;;
327;531;0.1706387;0.4920422;0.1416481;0.4646387;468.3;0.3514902;True;5/17/2025 12:00:19 PM:488;1747472419488;;
324;531;0.1687607;0.4920234;0.1534072;0.4876449;468.2;0.3518708;True;5/17/2025 12:00:19 PM:537;1747472419537;;
320;531;0.1669687;0.4919503;0.1500477;0.4816426;468.0;0.3518972;True;5/17/2025 12:00:19 PM:588;1747472419588;;
320;531;0.1667081;0.4920499;0.1612212;0.4969469;467.9;0.3519561;True;5/17/2025 12:00:19 PM:639;1747472419639;;
317;531;0.1652491;0.4918048;0.1467467;0.4775226;467.9;0.3510091;True;5/17/2025 12:00:19 PM:690;1747472419690;;
317;531;0.1652673;0.4920324;0.1686803;0.5008385;467.8;0.3509482;True;5/17/2025 12:00:19 PM:741;1747472419741;;
322;532;0.1677625;0.4929378;0.1967189;0.5144143;467.9;0.3518247;True;5/17/2025 12:00:19 PM:792;1747472419792;;
